frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_armed,transition_guard_pause_frames_remaining,transition_guard_recovery_streak,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
100,1624181100.161606073,1624181100.261641264,105,104,0,0.013431443,0.026023323,1,0,0,0,1,-0.009483940,-0.021555667,-0.005175600,0.000011998,-0.000003841,0.000101426,0.999999995,2325,2013,0.865806452,0.011502597,0.002037154,0.001742567,0.102930878,126.435584926,1727,0.977013754,139.988838414,307.292461741,1240.021452526,0.082966046,0.081058968,0,0,1,0,0,0.000000554,0.000001781,0.000003859,-0.088174912,-0.996074485,0.007797740,0.000000000,0.000000001,0.000000009,-0.004151990,0.012256750,-0.999916263,0.000000000,0.099689470,0.030193539,0.045688478,0.002856830,127.326708225,0,0.083137844,0.081043348,72,70,2,0.030967742,43,0,0,0,0,0,2210,43,7378,18152,5778,0,0,210863
101,1624181100.261603594,1624181100.361583233,106,105,0,0.012827703,0.024694595,1,0,0,0,1,-0.008510657,-0.019309851,-0.004690955,0.000011537,-0.000028697,0.000039785,0.999999999,2371,2041,0.860818220,0.011781132,0.001882398,0.001653888,0.106909963,124.276185313,1766,0.974771860,145.967062970,306.652976017,1268.827066197,0.084793232,0.082654056,0,0,1,0,0,0.000000547,0.000001759,0.000003804,-0.091818203,-0.995753780,0.006620163,0.000000000,0.000000001,0.000000008,-0.003701922,0.014378452,-0.999889772,0.000000000,0.100150137,0.029796078,0.043800368,0.002700853,127.085788906,0,0.083263077,0.081168531,93,93,0,0.039223956,35,0,0,0,0,0,2242,36,7405,18245,5813,0,0,213105
102,1624181100.361601114,1624181100.461581230,107,106,0,0.012587915,0.025104365,1,0,0,0,1,-0.007243646,-0.017861931,-0.004958107,-0.000011099,-0.000033620,0.000110573,0.999999993,2346,2048,0.872975277,0.012018163,0.001803830,0.001593508,0.105947392,123.962942648,1752,0.976932796,141.493502053,307.145118433,1262.947638265,0.082668052,0.080761131,0,0,1,0,0,0.000000548,0.000001759,0.000003802,-0.084658696,-0.996378485,0.007925829,0.000000000,0.000000001,0.000000009,0.006131370,-0.009126777,0.999939552,0.000000000,0.100577982,0.030960992,0.042168891,0.002787615,126.785077432,0,0.083328910,0.081236698,63,63,0,0.026854220,46,0,0,0,0,0,2237,46,7422,18308,5859,0,0,215342
103,1624181100.461598873,1624181100.561580181,108,107,0,0.013166688,0.025626133,1,0,0,0,1,-0.007426368,-0.018636150,-0.005349275,0.000003971,-0.000017982,0.000047286,0.999999999,2346,2033,0.866581415,0.011508064,0.001830888,0.001608158,0.108452989,122.774102889,1750,0.974990427,145.316859988,310.481624359,1250.434762196,0.085168227,0.083038206,0,0,1,0,0,0.000000548,0.000001751,0.000003765,-0.076561162,-0.997039503,0.007114607,0.000000000,0.000000002,0.000000008,0.005368820,-0.011099847,0.999923982,0.000000000,0.101165750,0.030899322,0.040994843,0.002638362,126.433560769,0,0.083391636,0.081295807,91,89,2,0.038789429,38,0,0,0,0,0,2217,38,7439,18399,5897,0,0,217559
104,1624181100.561596394,1624181100.661584854,109,108,0,0.013056868,0.026460893,1,0,0,0,1,-0.007892122,-0.018620003,-0.005354481,0.000014766,0.000003456,0.000067151,0.999999998,2370,2056,0.867510549,0.012112543,0.002097607,0.001786978,0.104706000,124.660234228,1770,0.975659837,141.544432877,309.385128348,1275.988350352,0.081963614,0.079968606,0,0,1,0,0,0.000000544,0.000001744,0.000003781,-0.070035031,-0.997507115,0.008640058,0.000000000,0.000000001,0.000000009,-0.005342251,0.013659609,-0.999892432,0.000000000,0.101360646,0.031808189,0.039182658,0.002381996,126.464100600,0,0.083395492,0.081303478,96,93,3,0.040506329,43,0,0,0,0,0,2229,45,7459,18495,5940,0,0,219788
105,1624181100.661593914,1624181100.761443138,110,109,0,0.013441265,0.027519971,1,0,0,0,1,-0.010269189,-0.020051062,-0.004980251,0.000011931,-0.000018892,0.000116619,0.999999993,2360,2038,0.863559322,0.011592895,0.001806313,0.001534471,0.104458408,125.243988090,1759,0.973435897,142.370926308,310.450020487,1259.452796513,0.083147293,0.080938560,0,0,1,0,0,0.000000547,0.000001741,0.000003787,-0.078695264,-0.996838487,0.010958373,0.000000000,0.000000001,0.000000008,0.007198583,-0.016273821,0.999841659,0.000000000,0.101592994,0.029423997,0.040580528,0.002300167,126.356879014,0,0.083373752,0.081270438,53,52,1,0.022457627,38,0,0,0,0,0,2268,39,7470,18548,5978,0,0,222056
106,1624181100.761591434,1624181100.861384392,111,110,0,0.012177362,0.026522469,1,0,0,0,1,-0.010315109,-0.021392285,-0.005336797,-0.000025781,-0.000056427,0.000025923,0.999999998,2354,2038,0.865760408,0.011691842,0.001956358,0.001740164,0.103600478,123.751485441,1777,0.973297989,146.352123710,316.919657393,1266.278745227,0.084618588,0.082359102,0,0,1,0,0,0.000000546,0.000001780,0.000003783,-0.087046620,-0.996154906,0.009914125,0.000000000,0.000000002,0.000000008,0.004212896,-0.019468508,0.999801595,0.000000000,0.101645505,0.028330993,0.040005608,0.002449201,126.303365740,0,0.083238826,0.081132536,104,103,1,0.044180119,32,0,0,0,0,0,2218,32,7485,18652,6010,0,0,224274
107,1624181100.861588955,1624181100.961372137,112,111,0,0.012650054,0.024497397,1,0,0,0,1,-0.009807627,-0.024225105,-0.005824080,-0.000010598,-0.000038612,0.000092209,0.999999995,2370,2048,0.864135021,0.011569341,0.001873927,0.001576156,0.107954109,124.697273048,1775,0.975032774,152.824987437,308.791640119,1269.066545445,0.088303272,0.086098584,0,0,1,0,0,0.000000545,0.000001792,0.000003732,-0.083987313,-0.996433674,0.008128013,0.000000000,0.000000001,0.000000009,-0.002753671,0.012162765,-0.999922239,0.000000000,0.102232771,0.024808328,0.040180842,0.002475281,126.023354376,0,0.083543258,0.081425874,64,64,0,0.027004219,41,0,0,0,0,0,2265,41,7505,18716,6051,0,0,226539
108,1624181100.961586714,1624181101.061425209,113,112,0,0.013322207,0.026085600,1,0,0,0,1,-0.010824218,-0.027856556,-0.005815255,0.000015505,-0.000012408,0.000190962,0.999999982,2359,2045,0.866892751,0.011638128,0.001928546,0.001614839,0.105260143,126.494121622,1794,0.974357092,149.440046439,314.716643185,1283.839933761,0.085492183,0.083299914,0,0,1,0,0,0.000000547,0.000001773,0.000003752,-0.084395113,-0.996407395,0.007054582,0.000000000,0.000000001,0.000000008,-0.004588801,0.015071149,-0.999875894,0.000000000,0.102719192,0.024780699,0.041474873,0.002515489,125.832103930,0,0.083758619,0.081626449,50,46,4,0.021195422,39,0,0,0,0,0,2270,39,7533,18766,6090,0,0,228809
109,1624181101.061584234,1624181101.161491394,114,113,0,0.012420526,0.026568631,1,0,0,0,1,-0.011538519,-0.029928744,-0.005706653,0.000003435,-0.000012837,0.000220603,0.999999976,2359,2051,0.869436202,0.011152804,0.001946662,0.001559645,0.104562453,127.143858088,1795,0.975261622,149.820567860,317.672809084,1283.101234582,0.085582674,0.083465497,0,0,1,0,0,0.000000551,0.000001768,0.000003780,-0.085259805,-0.996311635,0.009689792,0.000000000,0.000000001,0.000000008,-0.002025554,0.017766360,-0.999840114,0.000000000,0.103018673,0.025549082,0.038703708,0.002527603,125.812782918,0,0.083992985,0.081852645,60,59,1,0.025434506,36,0,0,0,0,0,2263,36,7552,18826,6126,0,0,231072
110,1624181101.161581755,1624181101.261613846,115,114,0,0.012837730,0.026443413,1,0,0,0,1,-0.012355912,-0.028339400,-0.005640894,0.000003163,-0.000052699,0.000143994,0.999999988,2372,2061,0.868887015,0.010745538,0.001943767,0.001571494,0.098829155,129.102465585,1771,0.976091120,140.530974985,306.883689226,1281.242708852,0.081294869,0.079351200,0,0,1,0,0,0.000000539,0.000001785,0.000003895,-0.090133046,-0.995890952,0.008788940,0.000000000,0.000000001,0.000000009,0.004801167,-0.012538147,0.999909868,0.000000000,0.103138417,0.029585407,0.037881557,0.002489476,125.655262997,0,0.083893946,0.081763940,77,75,2,0.032462057,36,0,0,0,0,0,2258,37,7578,18903,6162,0,0,233330
111,1624181101.261579275,1624181101.361727476,116,115,0,0.013070634,0.025007254,1,0,0,0,1,-0.011421164,-0.026289910,-0.005867543,0.000006617,-0.000044497,0.000044476,0.999999998,2348,2036,0.867120954,0.011588675,0.002071026,0.001722943,0.103970034,126.004908350,1760,0.975383160,145.559166742,304.617956195,1266.497239054,0.084791368,0.082704072,0,0,1,0,0,0.000000547,0.000001785,0.000003841,-0.090855954,-0.995807420,0.010619697,0.000000000,0.000000001,0.000000009,0.000890205,-0.014196292,0.999898831,0.000000000,0.103563872,0.027455479,0.039393110,0.002425916,125.336816391,0,0.084007975,0.081885606,102,100,2,0.043441227,48,0,0,0,0,0,2198,48,7603,19005,6210,0,0,235528
112,1624181101.361576796,1624181101.461598873,117,116,0,0.013079644,0.024569883,1,0,0,0,1,-0.011723190,-0.029339739,-0.005661396,0.000007069,-0.000022620,0.000263998,0.999999965,2367,2042,0.862695395,0.011462886,0.001964530,0.001577380,0.097009847,131.379023468,1772,0.974467632,143.684093400,305.974521758,1277.098028441,0.083210390,0.081085831,0,0,1,0,0,0.000000541,0.000001802,0.000003987,-0.087666491,-0.996105351,0.009418908,0.000000000,0.000000001,0.000000009,0.005450050,-0.014834483,0.999875110,0.000000000,0.103419726,0.024524434,0.040908418,0.002624069,125.619487724,0,0.084075013,0.081951724,82,81,1,0.034643008,45,0,0,0,0,0,2239,46,7624,19087,6255,0,0,237767
113,1624181101.461574554,1624181101.561575890,118,117,0,0.013142712,0.027562889,1,0,0,0,1,-0.008326377,-0.021808018,-0.005479030,0.000016624,0.000021268,-0.000282827,0.999999960,2342,2032,0.867634500,0.013256426,0.002544244,0.001980334,0.103102834,126.267616754,1762,0.976068078,142.328453508,308.356246810,1269.147252567,0.082757186,0.080776648,0,0,1,0,0,0.000000542,0.000001779,0.000003864,-0.078259685,-0.996895860,0.008606199,0.000000000,0.000000001,0.000000008,-0.002784358,0.003401280,-0.999990339,0.000000000,0.103661559,0.039653638,0.048008671,0.003684008,125.550292152,0,0.084029942,0.081918575,290,289,1,0.123825790,52,0,0,0,0,0,2000,52,7669,19377,6307,0,0,239767
114,1624181101.561572075,1624181101.661454916,119,118,0,0.012573495,0.024531896,1,0,0,0,1,-0.007354684,-0.024018196,-0.005478652,-0.000001180,-0.000024492,0.000123114,0.999999992,2362,2033,0.860711262,0.011634147,0.001825784,0.001584258,0.105418920,127.026746151,1781,0.974834340,149.668307418,314.808612867,1271.703040080,0.086205526,0.084036107,0,0,1,0,0,0.000000548,0.000001776,0.000003829,-0.084076574,-0.996398807,0.010979430,0.000000000,0.000000001,0.000000009,0.003264212,-0.011838967,0.999924589,0.000000000,0.103751953,0.039653944,0.047853979,0.004304605,125.676213504,0,0.084097141,0.081990007,73,71,2,0.030906012,40,0,0,0,0,0,2249,40,7690,19450,6347,0,0,242016
115,1624181101.661569595,1624181101.761431217,120,119,0,0.013303834,0.025099096,1,0,0,0,1,-0.009298435,-0.026032898,-0.005481217,0.000019332,-0.000017402,0.000191285,0.999999981,2375,2052,0.864000000,0.011652268,0.002167330,0.001755910,0.103306530,126.771645592,1784,0.974582195,149.043661671,312.622549637,1276.988424075,0.085723558,0.083544653,0,0,1,0,0,0.000000547,0.000001763,0.000003840,-0.069765733,-0.997513070,0.010020858,0.000000000,0.000000001,0.000000009,-0.008035876,0.007806072,-0.999937243,0.000000000,0.103836855,0.039619117,0.048794535,0.004320849,125.608523116,0,0.084158780,0.082050518,56,54,2,0.023578947,42,0,0,0,0,0,2277,42,7713,19506,6389,0,0,244293
116,1624181101.761567116,1624181101.861434937,121,120,0,0.012858293,0.027068320,1,0,0,0,1,-0.011523291,-0.028059884,-0.005425289,0.000014581,-0.000018792,0.000089703,0.999999996,2385,2075,0.870020964,0.011424959,0.001933302,0.001615665,0.103064575,128.059216853,1799,0.974480948,150.949935026,310.099085497,1292.042204136,0.086105009,0.083907690,0,0,1,0,0,0.000000538,0.000001753,0.000003803,-0.075260384,-0.997117640,0.009606575,0.000000000,0.000000001,0.000000008,-0.004875551,0.007018255,-0.999963486,0.000000000,0.103905025,0.039887256,0.050122942,0.004425619,125.790440953,0,0.084238016,0.082124584,64,62,2,0.026834382,37,0,0,0,0,0,2284,37,7727,19570,6426,0,0,246577
117,1624181101.861564636,1624181101.961510181,122,121,0,0.013572079,0.027949894,1,0,0,0,1,-0.012470338,-0.031366920,-0.005399424,0.000013267,-0.000020990,0.000187702,0.999999982,2339,2023,0.864899530,0.011851858,0.001994860,0.001701157,0.105242555,122.968633314,1747,0.974827068,143.252891049,317.578510910,1242.191485575,0.084116833,0.081999365,0,0,1,0,0,0.000000551,0.000001757,0.000003793,-0.070414580,-0.997434799,0.012868870,0.000000000,0.000000001,0.000000009,0.005337906,-0.008682816,0.999948056,0.000000000,0.104202164,0.039990872,0.052162127,0.004528999,125.610989265,0,0.084420822,0.082310020,45,44,1,0.019238991,46,0,0,0,0,0,2245,49,7743,19615,6472,0,0,248822
118,1624181101.961562157,1624181102.061537981,123,122,0,0.012607590,0.026188229,1,0,0,0,1,-0.012179188,-0.033690753,-0.005200196,0.000006924,-0.000025763,0.000168029,0.999999986,2335,2031,0.869807281,0.011204035,0.001926460,0.001603193,0.105002434,124.942922410,1764,0.976467318,145.097861640,310.562189492,1266.828297138,0.084237355,0.082255024,0,0,1,0,0,0.000000546,0.000001786,0.000003748,-0.059334772,-0.998158955,0.012573202,0.000000000,0.000000002,0.000000009,0.001750214,-0.009957203,0.999948894,0.000000000,0.104359909,0.040231094,0.051241602,0.004378897,125.619633409,0,0.084352888,0.082252804,51,49,2,0.021841542,37,0,0,0,0,0,2247,37,7759,19666,6509,0,0,251069
119,1624181102.061559916,1624181102.161502600,124,123,0,0.013305519,0.024954527,1,0,0,0,1,-0.013931464,-0.034741747,-0.005176142,0.000012380,-0.000036274,0.000193452,0.999999981,2354,2045,0.868734070,0.012274848,0.002114468,0.001792748,0.102865206,126.938957125,1766,0.976025049,136.567978765,303.822125158,1283.270133308,0.079231380,0.077331811,0,0,1,0,0,0.000000542,0.000001813,0.000003783,-0.075335128,-0.997085467,0.012049494,0.000000000,0.000000002,0.000000009,0.001898483,-0.018428545,0.999828378,0.000000000,0.104129745,0.041773683,0.050309358,0.004423367,125.945095595,0,0.084118833,0.082031751,62,62,0,0.026338148,39,0,0,0,0,0,2253,39,7774,19728,6548,0,0,253322
120,1624181102.161557436,1624181102.261440516,124,124,0,0.012651115,0.025805000,1,0,0,0,1,-0.012087858,-0.032775377,-0.005664377,0.000003421,-0.000027014,0.000138103,0.999999990,2362,2039,0.863251482,0.011196413,0.001983227,0.001646411,0.101677652,125.460464029,1792,0.975187184,147.336242899,313.465699017,1286.733492279,0.084310876,0.082218886,0,0,1,0,0,0.000000545,0.000001813,0.000003797,-0.069170117,-0.997536210,0.011704924,0.000000000,0.000000001,0.000000009,0.002519908,-0.015845461,0.999871277,0.000000000,0.104067084,0.042695921,0.050553511,0.004410781,125.896339550,0,0.084186074,0.082089747,58,56,2,0.024555461,32,0,0,0,0,0,2269,35,7794,19786,6580,0,0,255591
121,1624181102.361552477,1624181102.461523294,126,125,0,0.013393242,0.027600841,1,0,0,0,1,-0.010204703,-0.026958451,-0.005345714,0.000022232,-0.000006036,0.000159252,0.999999987,2362,2046,0.866215072,0.011984715,0.002089430,0.001748090,0.099479520,129.707536574,1778,0.975251615,142.025357017,312.383151091,1279.588863543,0.081906328,0.079879278,0,0,1,0,0,0.000000663,0.000002296,0.000005207,-0.068628443,-0.997571169,0.011912141,0.000000000,0.000000001,0.000000009,-0.007349873,0.016252442,-0.999840906,0.000000000,0.103695562,0.043024551,0.054733503,0.004311501,126.167907113,0,0.084041729,0.081951008,59,58,1,0.024978831,36,0,0,0,0,0,2266,37,7810,19845,6616,0,0,257857
122,1624181102.461549997,1624181102.561484337,127,126,0,0.013296068,0.025418669,1,0,0,0,1,-0.011261418,-0.027844585,-0.005228143,0.000021123,-0.000020504,0.000075635,0.999999997,2362,2039,0.863251482,0.011469837,0.001879642,0.001627839,0.101847256,126.240380035,1767,0.975454436,142.289530373,305.558082899,1275.780375139,0.082552344,0.080526050,0,0,1,0,0,0.000000547,0.000001914,0.000004320,-0.068863494,-0.997568978,0.010674868,0.000000000,0.000000002,0.000000009,0.004784647,-0.015587745,0.999867056,0.000000000,0.103490555,0.042750978,0.055231131,0.004352159,126.281778982,0,0.084035944,0.081939254,62,60,2,0.026248942,32,0,0,0,0,0,2268,32,7835,19907,6648,0,0,260125
123,1624181102.561547756,1624181102.661485434,128,127,0,0.013365829,0.027571718,1,0,0,0,1,-0.011414161,-0.031528549,-0.005082633,0.000017272,-0.000040863,0.000068500,0.999999997,2371,2039,0.859974694,0.011064505,0.002004281,0.001686585,0.101422899,126.685865929,1797,0.974175018,146.638962031,310.152284507,1293.801261216,0.083765332,0.081602094,0,0,1,0,0,0.000000547,0.000001842,0.000004008,-0.068648496,-0.997579251,0.011091512,0.000000000,0.000000001,0.000000009,-0.003058477,0.011486470,-0.999929351,0.000000000,0.103139050,0.044164412,0.058455067,0.004326699,126.477367134,0,0.083965799,0.081867449,79,76,3,0.033319275,32,0,0,0,0,0,2260,32,7863,19986,6680,0,0,262385
124,1624181102.661545277,1624181102.761512041,129,128,0,0.013306458,0.026615050,1,0,0,0,1,-0.009908157,-0.030013830,-0.005087375,0.000014001,-0.000014091,0.000079207,0.999999997,2363,2025,0.856961490,0.011457602,0.001846060,0.001619135,0.099618724,129.174398653,1773,0.973829516,136.820021307,311.706110099,1278.073600484,0.079242466,0.077168653,0,0,1,0,0,0.000000550,0.000001824,0.000004026,-0.086763898,-0.996147607,0.012726761,0.000000000,0.000000001,0.000000010,-0.002203557,0.011687828,-0.999929267,0.000000000,0.102884687,0.043327298,0.057791336,0.004249177,126.703075356,0,0.083829741,0.081727451,72,71,1,0.030469742,40,0,0,0,0,0,2251,40,7882,20058,6720,0,0,264636
125,1624181102.761542797,1624181102.861579180,129,129,0,0.013057047,0.025043382,1,0,0,0,1,-0.010172943,-0.032953479,-0.005696417,0.000015737,-0.000000438,0.000023220,1.000000000,2338,2015,0.861847733,0.011636345,0.002089858,0.001744335,0.098999895,129.119336498,1750,0.974986523,134.199548333,306.803786436,1265.223080973,0.078652837,0.076685456,0,0,1,0,0,0.000000551,0.000001817,0.000004045,-0.081551094,-0.996601273,0.011632802,0.000000000,0.000000001,0.000000010,0.001407267,-0.013133570,0.999912761,0.000000000,0.102611761,0.043325836,0.059416504,0.004179762,126.896842776,0,0.083605019,0.081514796,75,75,0,0.032078700,40,0,0,0,0,0,2223,40,7904,20133,6760,0,0,266859
126,1624181102.961537838,1624181103.061446905,131,130,0,0.012922596,0.025993133,1,0,0,0,1,-0.011207700,-0.031754794,-0.005785269,-0.000006461,-0.000040901,0.000097057,0.999999994,2344,2032,0.866894198,0.010868785,0.001970582,0.001659227,0.096385731,131.652851912,1769,0.975171946,137.922914469,315.009767782,1272.146490372,0.079951643,0.077966599,0,0,1,0,0,0.000000658,0.000002341,0.000005412,-0.084760852,-0.996347419,0.010364297,0.000000000,0.000000001,0.000000010,0.006764140,-0.023136213,0.999709439,0.000000000,0.102251024,0.045536024,0.058083646,0.004194866,127.291911099,0,0.083371671,0.081295171,56,56,0,0.023890785,45,0,0,0,0,0,2242,46,7917,20189,6805,0,0,269101
127,1624181103.061535597,1624181103.161407232,132,131,0,0.012568816,0.026427347,1,0,0,0,1,-0.010792426,-0.031055190,-0.005147123,0.000011000,-0.000041251,0.000021365,0.999999999,2369,2035,0.859012241,0.011314900,0.002087753,0.001704204,0.094002343,134.137749935,1763,0.974884785,136.298548745,314.223466673,1268.199861029,0.079302271,0.077310578,0,0,1,0,0,0.000000547,0.000001909,0.000004670,-0.091250708,-0.995776375,0.010135071,0.000000000,0.000000001,0.000000010,0.006106556,-0.020334953,0.999774574,0.000000000,0.101553435,0.045812287,0.055346562,0.004148748,127.763934944,0,0.082921621,0.080855770,76,76,0,0.032081047,38,0,0,0,0,0,2253,40,7939,20265,6843,0,0,271354
128,1624181103.161533117,1624181103.261390924,133,132,0,0.013593490,0.025114272,1,0,0,0,1,-0.010322788,-0.027528214,-0.005458969,0.000008463,-0.000013447,0.000048158,0.999999999,2350,2031,0.864255319,0.011315552,0.002014295,0.001734906,0.100545424,126.272198615,1749,0.975710130,133.585419294,317.953841797,1254.977756112,0.078279571,0.076378170,0,0,1,0,0,0.000000542,0.000001808,0.000004141,-0.083776805,-0.996442201,0.009186251,0.000000000,0.000000001,0.000000009,-0.000340889,-0.010968893,0.999939782,0.000000000,0.101317699,0.046032416,0.056723773,0.004143052,127.752838793,0,0.082560991,0.080509683,76,76,0,0.032340426,35,0,0,0,0,0,2239,35,7956,20341,6878,0,0,273593
129,1624181103.261530638,1624181103.361524343,134,133,0,0.013171612,0.026732210,1,0,0,0,1,-0.009014772,-0.026667443,-0.005830489,0.000013572,-0.000009596,0.000018033,1.000000000,2343,2020,0.862142552,0.011095540,0.001817637,0.001531399,0.093345181,132.867424693,1784,0.974447051,134.120091392,313.671520183,1290.621927781,0.077150855,0.075179423,0,0,1,0,0,0.000000544,0.000001805,0.000004152,-0.083161975,-0.996479930,0.010575188,0.000000000,0.000000001,0.000000009,-0.002374633,0.015112958,-0.999882973,0.000000000,0.100756836,0.046231788,0.056544650,0.004050082,128.039017124,0,0.082139400,0.080095379,84,84,0,0.035851472,43,0,0,0,0,0,2216,43,7975,20425,6921,0,0,275809
130,1624181103.361528158,1624181103.461468935,135,134,0,0.013208424,0.027333976,1,0,0,0,1,-0.010265183,-0.028892741,-0.005913803,-0.000004104,-0.000031310,0.000065401,0.999999997,2367,2031,0.858048162,0.011459439,0.001968625,0.001571799,0.096894688,130.411872749,1768,0.974918676,136.731768679,321.153939307,1265.770511473,0.079326589,0.077336973,0,0,1,0,0,0.000000544,0.000001780,0.000004144,-0.087372566,-0.996100790,0.012216843,0.000000000,0.000000001,0.000000010,0.003368392,-0.012127638,0.999920784,0.000000000,0.100660112,0.043462428,0.056834589,0.003945782,128.104487482,0,0.082040986,0.079994668,51,49,2,0.021546261,40,0,0,0,0,0,2274,42,7993,20476,6961,0,0,278083
131,1624181103.461525679,1624181103.561557531,136,135,0,0.012984009,0.025200889,1,0,0,0,1,-0.011249497,-0.031143988,-0.005623169,0.000027334,-0.000012976,0.000094559,0.999999995,2350,2035,0.865957447,0.011224758,0.001976911,0.001645608,0.095707902,130.226486955,1767,0.975527184,144.500358446,317.516750322,1261.739424835,0.083828752,0.081777226,0,0,1,0,0,0.000000542,0.000001789,0.000004135,-0.087823935,-0.996083165,0.010260801,0.000000000,0.000000001,0.000000009,-0.004831529,0.016649830,-0.999849708,0.000000000,0.100247006,0.043983123,0.056237073,0.003565052,128.315566412,0,0.081992855,0.079948326,49,49,0,0.020851064,45,0,0,0,0,0,2256,45,8006,20525,7006,0,0,280339
132,1624181103.561523438,1624181103.661524534,137,136,0,0.012555337,0.024267603,1,0,0,0,1,-0.010762509,-0.030182639,-0.005734555,0.000001645,-0.000024259,0.000087426,0.999999996,2358,2024,0.858354538,0.012115670,0.002093188,0.001686108,0.096002989,130.320598677,1773,0.974267138,140.647113816,319.833147564,1266.895374931,0.081422425,0.079327193,0,0,1,0,0,0.000000547,0.000001780,0.000004165,-0.090985422,-0.995756219,0.013827690,0.000000000,0.000000001,0.000000010,0.003626787,-0.015637795,0.999871145,0.000000000,0.100196663,0.045121028,0.049056188,0.002485671,128.262645173,0,0.081903457,0.079860394,75,75,0,0.031806616,41,0,0,0,0,0,2242,41,8032,20600,7047,0,0,282581
133,1624181103.661520958,1624181103.761488676,138,137,0,0.012977612,0.025525303,1,0,0,0,1,-0.010708923,-0.029130010,-0.005511941,0.000015150,-0.000026267,0.000027742,0.999999999,2396,2066,0.862270451,0.010944107,0.001918126,0.001577726,0.094906974,133.519525606,1804,0.975200710,139.211795636,324.024697438,1296.025587086,0.079130789,0.077168401,0,0,1,0,0,0.000000538,0.000001786,0.000004113,-0.098854808,-0.995036664,0.011391379,0.000000000,0.000000001,0.000000009,-0.002846492,0.016445607,-0.999860710,0.000000000,0.099786870,0.032415036,0.047719085,0.001793158,128.625240615,0,0.081722137,0.079679982,69,68,1,0.028797997,38,0,0,0,0,0,2289,38,8052,20669,7085,0,0,284870
134,1624181103.761518478,1624181103.861490965,139,138,0,0.012939148,0.025622946,1,0,0,0,1,-0.010654333,-0.029168112,-0.005560380,0.000019094,-0.000013195,0.000058381,0.999999998,2352,2015,0.856717687,0.010793159,0.001881332,0.001584104,0.092561267,133.829272041,1764,0.974702682,135.352445078,319.427690891,1264.595395137,0.078721863,0.076730411,0,0,1,0,0,0.000000543,0.000001822,0.000004217,-0.099681928,-0.994935951,0.012882791,0.000000000,0.000000001,0.000000010,-0.002939406,0.014364204,-0.999892509,0.000000000,0.099143987,0.034692050,0.045001915,0.001718095,128.965366910,0,0.081347954,0.079314697,60,60,0,0.025510204,39,0,0,0,0,0,2253,39,8076,20729,7124,0,0,287123
135,1624181103.861515999,1624181103.961384773,140,139,0,0.012936113,0.024806358,1,0,0,0,1,-0.012636658,-0.030840674,-0.005491547,0.000010215,-0.000016219,0.000152521,0.999999988,2376,2055,0.864898990,0.011430761,0.001764370,0.001516611,0.090921757,132.973134680,1781,0.973896543,135.440161626,310.347497823,1288.722083721,0.078085558,0.076047255,0,0,1,0,0,0.000000535,0.000001798,0.000004224,-0.092636268,-0.995652778,0.009698793,0.000000000,0.000000001,0.000000008,-0.008943589,0.014725844,-0.999851570,0.000000000,0.098524749,0.034406601,0.044586209,0.001703213,129.275441364,0,0.080966054,0.078939827,57,57,0,0.023989899,46,0,0,0,0,0,2271,48,8103,20786,7170,0,0,289394
136,1624181103.961513519,1624181104.061388493,141,140,0,0.012425823,0.025263741,1,0,0,0,1,-0.012529268,-0.029850981,-0.005697637,0.000004833,-0.000039726,0.000080161,0.999999996,2359,2043,0.866044934,0.010904433,0.001879648,0.001584624,0.091934644,135.229436888,1792,0.973614547,138.958410904,317.241860661,1288.516996402,0.079645232,0.077543756,0,0,1,0,0,0.000000535,0.000001800,0.000004239,-0.089701548,-0.995908372,0.010961172,0.000000000,0.000000001,0.000000009,-0.004010615,0.012045257,-0.999919410,0.000000000,0.097968252,0.035793074,0.042162754,0.001651935,129.633952366,0,0.080643065,0.078621630,68,67,1,0.028825774,31,0,0,0,0,0,2259,32,8127,20854,7201,0,0,291653
