frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,adaptive_map,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
918,1624181187.059491396,1624181187.159426451,923,922,0,1,0,0,1,2.448842394,24.161770260,-33.412557281,0.010165351,0.039919459,-0.051383059,0.997829085,1742,790,0.453501722,0.060694231,0.045893993,0.030711675,0.310395945,95.039989011,1630,0.816522233,248.020007203,458.393041542,624.518191701,0.186350729,0.152159514,0,1.000000000,1.000000000,1.000000000,0.000002149,0.000002229,0.000007590,0.058404141,-0.075618163,-0.995424959,0.000000002,0.000000006,0.000000010,0.625097782,0.776635048,-0.078043362,0.000000000,0.351574908,0.071663547,7.880660306,0.019731244,84.624604533,0,226,210,16,0.129735936,35,0,0,0,0,0,1481,35,205042,417428,123759,3,0,1597073
919,1624181187.159488916,1624181187.259471416,923,923,0,1,0,0,1,2.447874310,24.558961843,-33.408862949,0.011907181,0.038038202,-0.054612607,0.997711771,1795,814,0.453481894,0.058405965,0.044385340,0.028715499,0.327680636,84.693079484,1675,0.810053990,246.547651092,482.254575051,628.038206361,0.181707182,0.147192628,0,1.000000000,1.000000000,1.000000000,0.000002088,0.000002290,0.000006720,0.051629148,-0.045465653,-0.997630846,0.000000002,0.000000006,0.000000009,0.642871390,0.763771034,-0.058053281,0.000000000,0.341912273,0.077361308,7.841100487,0.025671237,85.015526527,0,252,233,19,0.140389972,44,0,0,0,0,0,1498,45,205148,417680,123803,3,0,1598571
920,1624181187.359483957,1624181187.459390640,925,924,0,1,0,0,1,2.452057229,25.298843496,-33.399698893,0.006994701,0.033544658,-0.059480213,0.997641185,1822,887,0.486827662,0.082697481,0.059128598,0.036145603,0.367337911,87.020402639,1677,0.823607746,257.065476555,484.864497488,639.260216137,0.186118811,0.153288895,0,1.000000000,1.000000000,1.000000000,0.000002498,0.000003084,0.000008339,0.080295632,-0.020222717,-0.996565930,0.000000002,0.000000006,0.000000008,0.366613951,0.926399478,-0.085896555,0.000000000,0.337120956,0.089707993,8.128878113,0.034542582,85.526270022,0,342,308,34,0.187705818,98,0,0,0,0,0,1382,98,205267,418022,123901,3,0,1599953
921,1624181187.459481478,1624181187.559374809,926,925,0,1,0,0,1,2.454971330,25.675008111,-33.391639931,0.005484738,0.030930272,-0.059902203,0.997709859,1783,808,0.453168817,0.068649901,0.050044436,0.029059065,0.402311158,82.301446036,1642,0.810380414,257.871734675,461.266437132,611.506468345,0.193794592,0.157047341,0,1.000000000,1.000000000,1.000000000,0.000002122,0.000002655,0.000006798,0.085457644,-0.070686730,-0.993831161,0.000000002,0.000000006,0.000000008,0.722896746,0.683573827,-0.100732900,0.000000000,0.336456940,0.089625863,8.053974191,0.035454434,85.665649443,0,268,243,25,0.150308469,64,0,0,0,0,0,1450,65,205381,418290,123965,3,0,1601403
922,1624181187.559478998,1624181187.659379721,927,926,0,1,0,0,1,2.464006715,26.056024430,-33.420373691,-0.002771245,0.027901273,-0.060154488,0.997795208,1819,893,0.490929082,0.064644804,0.044835762,0.028366839,0.363271241,94.108937996,1705,0.824066355,259.483777803,462.462299610,683.087058290,0.184681607,0.152189899,0,1.000000000,1.000000000,1.000000000,0.000002011,0.000002398,0.000006786,0.097271772,-0.084942146,-0.991626459,0.000000002,0.000000006,0.000000009,0.562390986,0.822883491,-0.081111891,0.000000000,0.332707167,0.090182093,7.977673038,0.035931887,86.689710758,0,254,230,24,0.139637163,65,0,0,0,0,0,1500,65,205470,418544,124030,3,0,1602903
923,1624181187.659476757,1624181187.759418964,928,927,0,1,0,0,1,2.477890930,26.422741587,-33.447120920,-0.008876739,0.026481903,-0.060005419,0.997807227,1848,900,0.487012987,0.069049882,0.047614432,0.029584466,0.288050864,101.401141322,1735,0.826900997,254.077686614,447.162930950,733.432611745,0.177097949,0.146442471,0,1.000000000,1.000000000,1.000000000,0.000002100,0.000002146,0.000007397,0.096630213,-0.039275697,-0.994545133,0.000000002,0.000000006,0.000000009,0.376184259,0.925080369,-0.052074118,0.000000000,0.328095748,0.089964922,7.914345607,0.035229581,87.535632387,0,241,219,22,0.130411255,60,0,0,0,0,0,1547,60,205572,418785,124090,3,0,1604450
924,1624181187.759474277,1624181187.859394312,929,928,0,1,0,0,1,2.489892633,26.788322103,-33.445174599,-0.013758870,0.026693962,-0.059643318,0.997767909,1769,836,0.472583380,0.062700953,0.046297562,0.027762584,0.282892281,106.969773113,1645,0.819258173,221.668463919,463.766267907,662.244963550,0.164481564,0.134752866,0,1.000000000,1.000000000,1.000000000,0.000002091,0.000002440,0.000008208,0.081940746,-0.041726681,-0.995763324,0.000000002,0.000000007,0.000000010,0.599441233,0.796412304,-0.079985314,0.000000000,0.325426944,0.091054324,7.868693066,0.035472840,88.830429834,0,251,229,22,0.141888072,49,0,0,0,0,0,1469,49,205669,419036,124139,3,0,1605919
925,1624181187.859471798,1624181187.959451675,930,929,0,1,0,0,1,2.497267964,27.152626996,-33.442425050,-0.018175892,0.028888227,-0.059686197,0.997633533,1770,845,0.477401130,0.063635049,0.046964086,0.028427501,0.318498528,96.217474566,1656,0.813211434,248.894431772,441.654420998,656.129281276,0.184821024,0.150298570,0,1.000000000,1.000000000,1.000000000,0.000002108,0.000002510,0.000007785,0.055931500,-0.109064321,-0.992459894,0.000000002,0.000000006,0.000000009,0.826923800,0.556256083,-0.082317671,0.000000000,0.327885824,0.088294176,7.810669687,0.035810570,89.003995502,0,253,240,13,0.142937853,61,0,0,0,0,0,1454,63,205755,419289,124200,3,0,1607373
926,1624181187.959469318,1624181188.059460640,931,930,0,1,0,0,1,2.499896265,27.518779091,-33.449587206,-0.022728971,0.030725133,-0.059367387,0.997504323,1901,919,0.483429774,0.070164824,0.049273051,0.030159592,0.272147680,110.860482930,1788,0.817544105,248.751564090,458.183500190,754.833794719,0.170171613,0.139122799,0,1.000000000,1.000000000,1.000000000,0.000001901,0.000002240,0.000008014,0.025910181,-0.125909756,-0.991703280,0.000000002,0.000000005,0.000000008,0.684426626,0.724459582,-0.081966500,0.000000000,0.323821345,0.088455176,7.765054189,0.035817275,90.598643676,0,295,269,26,0.155181483,76,0,0,0,0,0,1529,77,205849,419584,124276,3,0,1608902
927,1624181188.059466839,1624181188.159417391,932,931,0,1,0,0,1,2.500903340,27.850525499,-33.439655976,-0.023304234,0.032991963,-0.059796039,0.997393040,1826,898,0.491785323,0.061951630,0.044803581,0.028639364,0.258636578,92.247667717,1708,0.833218703,226.024053188,459.839114185,737.274377957,0.158820947,0.132332584,0,1.000000000,1.000000000,1.000000000,0.000001917,0.000002195,0.000007507,0.030634664,-0.138240231,-0.989924823,0.000000002,0.000000006,0.000000008,0.915093737,0.394762148,-0.082257518,0.000000000,0.319216182,0.090776551,7.687706004,0.036450403,90.845649984,0,248,236,12,0.135815991,56,0,0,0,0,0,1519,59,205937,419832,124332,3,0,1610421
928,1624181188.159464598,1624181188.259407997,933,932,0,1,0,0,1,2.503179516,28.179408380,-33.450405192,-0.024665482,0.032908919,-0.059579492,0.997376008,1796,876,0.487750557,0.076777511,0.052243262,0.032938625,0.194133330,105.359793819,1679,0.828713854,194.788995083,463.875819554,732.745746342,0.139993903,0.116014887,0,1.000000000,1.000000000,1.000000000,0.000001970,0.000002242,0.000007957,0.028490268,-0.134990154,-0.990437258,0.000000002,0.000000006,0.000000009,0.705953550,0.700736024,-0.102949550,0.000000000,0.311782072,0.094214323,7.583682157,0.036463719,92.064781616,0,260,229,31,0.144766147,77,0,0,0,0,0,1459,77,206027,420092,124409,3,0,1611880
929,1624181188.259462118,1624181188.359432459,934,933,0,1,0,0,1,2.499262243,28.487071696,-33.452024134,-0.026865002,0.029333879,-0.059633816,0.997427493,1780,906,0.508988764,0.066919918,0.052293076,0.032309796,0.230871131,104.855809738,1656,0.826821871,207.741467354,455.910646533,705.564904120,0.151722820,0.125447746,0,1.000000000,1.000000000,1.000000000,0.000001928,0.000002233,0.000008115,0.042068674,-0.141980076,-0.988975169,0.000000002,0.000000005,0.000000009,0.625202586,0.778020653,-0.061689464,0.000000000,0.306364911,0.088918354,7.474720911,0.035940813,93.270596971,0,213,201,12,0.119662921,65,0,0,0,0,0,1502,65,206108,420305,124474,3,0,1613382
930,1624181188.359459639,1624181188.459400654,935,934,0,1,0,0,1,2.499562861,28.786015363,-33.468204514,-0.028145029,0.022661808,-0.059922309,0.997548804,1833,862,0.470267321,0.066124125,0.048003655,0.028959779,0.253670184,119.939352053,1698,0.820311545,228.050562288,451.488054274,713.350386651,0.163724864,0.134305396,0,1.000000000,1.000000000,1.000000000,0.000002001,0.000002296,0.000009171,0.054971982,-0.138836832,-0.988788357,0.000000002,0.000000006,0.000000010,0.629819953,0.774640731,-0.057083840,0.000000000,0.303104305,0.088095511,7.342714252,0.035519977,95.172692361,0,274,257,17,0.149481724,63,0,0,0,0,0,1494,65,206204,420579,124537,3,0,1614876
931,1624181188.459457159,1624181188.559342623,936,935,0,1,0,0,1,2.497988938,29.084777198,-33.460540419,-0.030074143,0.015626291,-0.060150798,0.997613776,1728,804,0.465277778,0.069384171,0.049405754,0.030536677,0.311081116,120.409190312,1605,0.812857822,230.895242686,433.101353731,640.640207349,0.176980476,0.143859964,0,1.000000000,1.000000000,1.000000000,0.000002081,0.000002473,0.000010333,0.081932637,-0.132576072,-0.987780658,0.000000002,0.000000009,0.000000011,0.524360291,0.849636228,-0.056254472,0.000000000,0.301915451,0.083936402,7.220834089,0.035182474,96.902616596,0,206,185,21,0.119212963,68,0,0,0,0,0,1454,68,206284,420785,124605,3,0,1616330
932,1624181188.559454679,1624181188.659327984,937,936,0,1,0,0,1,2.508801667,29.383619432,-33.459350773,-0.030180257,0.012903563,-0.059739541,0.997674214,1883,910,0.483271375,0.062583625,0.049411607,0.028652478,0.338853506,110.065942463,1745,0.822813879,261.829425894,447.881517009,726.099276678,0.182356569,0.150045516,0,1.000000000,1.000000000,1.000000000,0.000001943,0.000002256,0.000009781,0.092997613,-0.120345640,-0.988366516,0.000000002,0.000000006,0.000000011,0.560132329,0.827693268,-0.034287423,0.000000000,0.305095732,0.083459964,7.120112651,0.035441977,97.732341724,0,265,242,23,0.140732873,57,0,0,0,0,0,1561,57,206393,421050,124662,3,0,1617891
933,1624181188.659452438,1624181188.759320498,938,937,0,1,0,0,1,2.528294622,29.666109415,-33.462045550,-0.028355104,0.012561138,-0.059556593,0.997743062,1924,966,0.502079002,0.070561764,0.049851209,0.032094567,0.337852175,98.175672599,1775,0.832518448,271.339527223,447.601618322,758.779100149,0.183620363,0.152867339,0,1.000000000,1.000000000,1.000000000,0.000001871,0.000002171,0.000008348,0.098932152,-0.137108625,-0.985603193,0.000000002,0.000000005,0.000000010,0.586380733,0.807681315,-0.061713290,0.000000000,0.307481659,0.083694268,7.018023040,0.035296102,98.167632497,0,253,230,23,0.131496881,77,0,0,0,0,0,1593,78,206480,421303,124739,3,0,1619484
934,1624181188.759449959,1624181188.859405041,939,938,0,1,0,0,1,2.544964733,29.940973265,-33.476954768,-0.026509007,0.014002328,-0.058863220,0.997815779,1861,903,0.485222998,0.062297685,0.047452868,0.027911194,0.341980000,115.323152898,1717,0.825145683,257.480914806,456.866794137,702.427428136,0.181737319,0.149959764,0,1.000000000,1.000000000,1.000000000,0.000001856,0.000002197,0.000008678,0.070083568,-0.148776834,-0.986384178,0.000000002,0.000000006,0.000000010,0.673400657,0.735885328,-0.070741359,0.000000000,0.307061049,0.084890544,6.909354975,0.034997033,99.633831356,0,247,224,23,0.132724342,61,0,0,0,0,0,1551,63,206585,421550,124800,3,0,1621035
935,1624181188.859447479,1624181188.959392071,940,939,0,1,0,0,1,2.554947304,30.210856630,-33.492693144,-0.024968818,0.020190519,-0.058246825,0.997785653,1856,902,0.485991379,0.065510964,0.048110510,0.029556025,0.261904405,107.101055607,1718,0.822518101,230.192197205,447.218411678,735.675489176,0.162900334,0.133988473,0,1.000000000,1.000000000,1.000000000,0.000001877,0.000002225,0.000008723,0.066302376,-0.159546871,-0.984961314,0.000000002,0.000000005,0.000000009,0.527269818,0.844657531,-0.092413174,0.000000000,0.303265774,0.084711646,6.804960631,0.034081178,100.714674550,0,223,206,17,0.120150862,66,0,0,0,0,0,1567,66,206681,421773,124866,3,0,1622602
936,1624181188.959445000,1624181189.059353352,940,940,0,1,0,0,1,2.570194352,30.479085415,-33.488319530,-0.022131688,0.026719437,-0.057996609,0.997713713,1860,814,0.437634409,0.066091503,0.048938667,0.032111273,0.254909489,110.047443460,1713,0.815369273,227.860522768,453.207662474,715.659379827,0.163138846,0.133018402,0,1.000000000,1.000000000,1.000000000,0.000002045,0.000002434,0.000009183,0.041617735,-0.158899337,-0.986417237,0.000000002,0.000000006,0.000000010,0.849452980,0.519928245,-0.090023636,0.000000000,0.300130320,0.083326569,6.706751316,0.030602774,101.716193892,0,274,253,21,0.147311828,70,0,0,0,0,0,1515,71,206791,422047,124936,3,0,1624117
937,1624181189.059442520,1624181189.159378767,942,941,0,1,0,0,1,2.579386602,30.710126352,-33.524705591,-0.024718003,0.032599538,-0.057036333,0.997533532,1783,869,0.487380819,0.077907856,0.052435247,0.033284431,0.298767175,103.427402286,1636,0.823060609,237.757355549,418.327037090,690.442762910,0.176570784,0.145328457,0,1.000000000,1.000000000,1.000000000,0.000002034,0.000002401,0.000008505,0.045897044,-0.143549912,-0.988578213,0.000000002,0.000000005,0.000000009,0.789125790,0.608062160,-0.086838342,0.000000000,0.300762267,0.088725642,6.558165530,0.026689412,102.278260502,0,294,263,31,0.164890634,86,0,0,0,0,0,1403,86,206916,422341,125022,3,0,1625520
938,1624181189.159440279,1624181189.259377956,943,942,0,1,0,0,1,2.585211544,30.950821975,-33.478199810,-0.025674371,0.040145601,-0.057781792,0.997191266,1665,806,0.484084084,0.082555399,0.056339983,0.035819595,0.191945060,115.808749823,1552,0.819253484,181.768156309,425.684906234,664.028345133,0.142957778,0.117118657,0,1.000000000,1.000000000,1.000000000,0.000002099,0.000002459,0.000009312,0.030597500,-0.149403635,-0.988302761,0.000000002,0.000000007,0.000000010,0.681184754,0.726246211,-0.092486606,0.000000000,0.294839722,0.096793739,6.406172023,0.022363138,103.316698543,0,251,223,28,0.150750751,85,0,0,0,0,0,1329,85,207011,422592,125107,3,0,1626849
939,1624181189.259437799,1624181189.359416246,944,943,0,1,0,0,1,2.594990263,31.270139852,-33.409363419,-0.029245161,0.042238007,-0.058433219,0.996968520,1756,796,0.453302961,0.126470550,0.068404626,0.048177839,0.316751919,100.441134685,1629,0.818877261,261.540730338,410.702001593,661.708326676,0.196064712,0.160552935,0,1.000000000,1.000000000,1.000000000,0.000002137,0.000002569,0.000008426,0.012559365,-0.167808047,-0.985739683,0.000000002,0.000000005,0.000000007,0.792197609,0.593978460,-0.140044766,0.000000000,0.294293286,0.194743189,5.993021397,0.013942201,104.104101303,0,468,417,51,0.266514806,163,0,0,0,0,0,1124,164,207187,423060,125270,3,0,1627973
940,1624181189.359435320,1624181189.459434032,945,944,0,1,0,0,1,2.599968462,31.509548101,-33.389310625,-0.029084559,0.039536638,-0.058644143,0.997071616,1652,735,0.444915254,0.079729604,0.054163716,0.033926837,0.267220026,101.471817878,1517,0.813781240,210.101366982,404.287868498,620.116905451,0.170190621,0.138497935,0,1.000000000,1.000000000,1.000000000,0.000002199,0.000002691,0.000008576,0.004056395,-0.164408749,-0.986383956,0.000000002,0.000000006,0.000000010,0.994573557,0.062093716,-0.083473406,0.000000000,0.289287392,0.193742338,5.857057341,0.013208920,104.826672065,0,240,212,28,0.145278450,77,0,0,0,0,0,1335,77,207273,423300,125347,3,0,1629308
941,1624181189.459432840,1624181189.559442759,946,945,0,1,0,0,1,2.595426687,31.722918082,-33.445575820,-0.025598010,0.035860488,-0.058983143,0.997286196,1711,801,0.468147282,0.073352677,0.052983766,0.032384069,0.243256675,109.971516118,1593,0.817147989,191.448262439,453.148611685,657.119872006,0.147073673,0.120180956,0,1.000000000,1.000000000,1.000000000,0.000002106,0.000002609,0.000008787,0.031984711,-0.150535437,-0.988087071,0.000000002,0.000000007,0.000000010,0.889577885,0.452281058,-0.063976808,0.000000000,0.281334668,0.192920059,5.695562842,0.012421757,106.210175569,0,220,203,17,0.128579778,77,0,0,0,0,0,1413,78,207368,423520,125424,3,0,1630721
942,1624181189.559430361,1624181189.659445763,947,946,0,1,0,0,1,2.589462664,31.928137998,-33.434200530,-0.021802932,0.027983757,-0.058807300,0.997638834,1785,832,0.466106443,0.069800976,0.046884386,0.029978149,0.274760973,102.215028842,1679,0.819398469,233.297062009,436.681915865,705.791050904,0.169575625,0.138950007,0,1.000000000,1.000000000,1.000000000,0.000002083,0.000002596,0.000008545,0.057698259,-0.149358493,-0.987098248,0.000000002,0.000000006,0.000000010,0.860003496,0.503262906,-0.084382665,0.000000000,0.276909155,0.190984398,5.533230954,0.013463338,106.615480112,0,213,193,20,0.119327731,60,0,0,0,0,0,1512,60,207429,423733,125484,3,0,1632233
943,1624181189.659428120,1624181189.759416103,948,947,0,1,0,0,1,2.583297308,32.146336026,-33.419848225,-0.017714567,0.023787422,-0.059279805,0.997800710,1853,863,0.465731247,0.072736714,0.053074656,0.034654284,0.346364567,107.967661375,1743,0.813815924,262.684199510,440.289252918,715.507703048,0.185186950,0.150708089,0,1.000000000,1.000000000,1.000000000,0.000002053,0.000002476,0.000008534,0.052316087,-0.129378996,-0.990214170,0.000000002,0.000000005,0.000000009,0.743163540,0.663653835,-0.085273328,0.000000000,0.279824840,0.190243158,5.386204750,0.013538041,106.943806114,0,270,245,25,0.145709660,76,0,0,0,0,0,1507,76,207525,424003,125560,3,0,1633740
944,1624181189.759425640,1624181189.859403610,949,948,0,1,0,0,1,2.575830045,32.362418665,-33.404458436,-0.012536047,0.023270566,-0.059474920,0.997879783,1776,809,0.455518018,0.067846670,0.048928752,0.031180382,0.281148113,113.335754054,1653,0.815150928,229.081535670,438.597495821,679.765452568,0.170011855,0.138585321,0,1.000000000,1.000000000,1.000000000,0.000002064,0.000002665,0.000008982,0.038207788,-0.106173689,-0.993613261,0.000000002,0.000000006,0.000000009,0.406837123,0.909090630,-0.089653673,0.000000000,0.279737631,0.187702437,5.238573483,0.013262920,107.262105161,0,197,178,19,0.110923423,54,0,0,0,0,0,1525,54,207594,424200,125614,3,0,1635265
945,1624181189.859423161,1624181189.959411383,950,949,0,1,0,0,1,2.576374614,32.550859580,-33.387859838,-0.001602752,0.022174067,-0.059723434,0.997967361,1815,809,0.445730028,0.064272082,0.048216026,0.030848725,0.357081579,101.538525414,1677,0.813387167,259.351499990,448.475054084,656.223724788,0.190133387,0.154652057,0,1.000000000,1.000000000,1.000000000,0.000002022,0.000002476,0.000008697,0.066296287,-0.104127668,-0.992351869,0.000000002,0.000000006,0.000000009,0.541167049,0.839420523,-0.050113985,0.000000000,0.281666784,0.187340681,5.061513237,0.012987692,107.528157704,0,244,208,36,0.134435262,52,0,0,0,0,0,1519,52,207693,424444,125666,3,0,1636784
946,1624181189.959420681,1624181190.059382439,951,950,0,1,0,0,1,2.583218852,32.763215092,-33.369478705,0.011091271,0.022632754,-0.060115334,0.997873183,1700,737,0.433529412,0.067289831,0.045807940,0.027923101,0.349582425,96.131217008,1564,0.811814355,234.842068419,428.062421330,606.773161265,0.184961961,0.150154775,0,1.000000000,1.000000000,1.000000000,0.000002202,0.000002718,0.000008309,0.067119524,-0.079109624,-0.994603759,0.000000003,0.000000006,0.000000009,0.775538372,0.622203175,-0.106786903,0.000000000,0.285538521,0.188272452,4.942876086,0.012175651,106.791694407,0,229,199,30,0.134705882,53,0,0,0,0,0,1416,55,207780,424673,125719,3,0,1638200
947,1624181190.059418201,1624181190.159382343,952,951,0,1,0,0,1,2.582401641,32.959263364,-33.369301778,0.023541319,0.023135973,-0.060595148,0.997616540,1675,731,0.436417910,0.058024342,0.044333528,0.027865263,0.398284911,106.685108716,1558,0.800702310,273.036265552,408.570419907,565.887513078,0.218867764,0.175247924,0,1.000000000,1.000000000,1.000000000,0.000002317,0.000002887,0.000009080,0.096237205,-0.037323750,-0.994658403,0.000000003,0.000000008,0.000000010,0.629017589,0.770788877,-0.101100845,0.000000000,0.292520938,0.191238751,4.809859770,0.012178253,107.513566457,0,199,183,16,0.118805970,39,0,0,0,0,0,1437,39,207865,424872,125758,3,0,1639637
948,1624181190.159415960,1624181190.259316683,953,952,0,1,0,0,1,2.578625414,33.154871006,-33.375068180,0.035846651,0.023368661,-0.060921885,0.997224873,1723,759,0.440510737,0.066978666,0.047901581,0.028739230,0.510222179,87.141529243,1598,0.807468141,295.784770443,427.316313678,567.233005462,0.229231152,0.185096853,0,1.000000000,1.000000000,1.000000000,0.000002191,0.000002906,0.000007716,0.095532495,-0.001775632,-0.995424728,0.000000002,0.000000006,0.000000007,-0.643979431,-0.762705385,0.059757755,0.000000000,0.308325380,0.192636439,4.697896308,0.012193845,106.602653229,0,228,207,21,0.132327336,59,0,0,0,0,0,1434,61,207956,425100,125817,3,0,1641071
949,1624181190.259413481,1624181190.359224081,953,953,0,1,0,0,1,2.572810931,33.344860728,-33.373132952,0.045498463,0.022925796,-0.061029754,0.996834824,1708,763,0.446721311,0.069028687,0.052013412,0.033190467,0.539598479,96.761314524,1571,0.807640584,288.108374779,428.159117134,552.535865863,0.227070943,0.183391709,0,1.000000000,1.000000000,1.000000000,0.000002241,0.000002938,0.000007737,0.123741609,0.065062256,-0.990179235,0.000000003,0.000000007,0.000000009,0.859832918,-0.508723007,0.043454071,0.000000000,0.323761748,0.191940356,4.588603453,0.012225240,106.197928468,0,211,190,21,0.123536300,55,0,0,0,0,0,1442,55,208028,425311,125872,3,0,1642513
950,1624181190.359411001,1624181190.459237099,954,954,0,1,0,0,1,2.565213570,33.558308134,-33.344304867,0.051072534,0.022407555,-0.060767728,0.996592585,1762,752,0.426787741,0.061338474,0.044006198,0.026786056,0.598704594,84.164133788,1628,0.797479391,315.499248202,439.800275352,542.996924676,0.243010176,0.193795607,0,1.000000000,1.000000000,1.000000000,0.000002220,0.000003092,0.000007282,0.108919192,0.019777483,-0.993853843,0.000000003,0.000000007,0.000000008,0.626045535,0.753801283,-0.199626186,0.000000000,0.341013468,0.194523867,4.505258498,0.012920043,104.409167555,0,211,196,15,0.119750284,45,0,0,0,0,0,1506,45,208108,425522,125917,3,0,1644019
951,1624181190.659403563,1624181190.759364128,956,955,0,1,0,0,1,2.591949949,34.272243712,-33.265423424,0.050445432,0.022182025,-0.060576939,0.996641184,1730,706,0.408092486,0.081399750,0.054608671,0.035992566,0.633513056,85.020984699,1586,0.796648512,315.974763343,419.285315108,528.224461839,0.250082018,0.199227467,0,1.000000000,1.000000000,1.000000000,0.000003503,0.000005350,0.000011139,0.121321582,0.059626040,-0.990820775,0.000000003,0.000000007,0.000000009,-0.015584248,-0.990386731,0.137445463,0.000000000,0.357135065,0.194925018,4.924995870,0.012251422,102.639757274,0,243,219,24,0.140462428,65,0,0,0,0,0,1422,65,208192,425765,125982,3,0,1645441
952,1624181190.759401321,1624181190.859383345,957,956,0,1,0,0,1,2.599012984,34.550464240,-33.262705494,0.049099370,0.021217246,-0.061001045,0.996703543,1782,755,0.423681257,0.066371325,0.047897538,0.029686135,0.637568232,87.429598889,1654,0.792800167,319.199666948,448.428845183,543.662964833,0.243423886,0.192986498,0,1.000000000,1.000000000,1.000000000,0.000002538,0.000003683,0.000008431,0.129066041,0.023202363,-0.991364518,0.000000002,0.000000006,0.000000008,0.052077675,-0.991758439,0.117060303,0.000000000,0.372070802,0.192944018,4.920144754,0.012827464,101.507940095,0,202,185,17,0.113355780,47,0,0,0,0,0,1531,49,208254,425967,126029,3,0,1646972
953,1624181190.859398842,1624181190.959382534,958,957,0,1,0,0,1,2.617036193,34.824200723,-33.271655990,0.042169787,0.019427159,-0.061024824,0.997055799,1740,736,0.422988506,0.060233516,0.047287845,0.027765814,0.560728357,102.709183055,1614,0.795732007,310.240215396,427.586480494,546.484762694,0.241561510,0.192218225,0,1.000000000,1.000000000,1.000000000,0.000002417,0.000003319,0.000008645,0.138836928,0.074421848,-0.987514909,0.000000003,0.000000007,0.000000009,0.872592312,-0.488267868,-0.013309618,0.000000000,0.383214611,0.197798657,4.918847695,0.011996550,101.734615618,0,204,184,20,0.117241379,43,0,0,0,0,0,1491,45,208329,426171,126072,3,0,1648463
954,1624181190.959396362,1624181191.059402943,958,958,0,1,0,0,1,2.634698129,35.100753629,-33.264498936,0.036573000,0.018468806,-0.061177974,0.997285603,1799,749,0.416342412,0.062452334,0.046994429,0.029341344,0.605846741,82.618066705,1657,0.796263249,326.657240537,444.227949290,548.523012943,0.247578604,0.197137743,0,1.000000000,1.000000000,1.000000000,0.000002381,0.000003251,0.000007494,0.141970919,0.073986718,-0.987101932,0.000000003,0.000000007,0.000000007,-0.933026598,0.348121462,0.090955015,0.000000000,0.396407948,0.197705000,4.925530304,0.011680809,100.099361308,0,217,195,22,0.120622568,52,0,0,0,0,0,1529,53,208406,426388,126124,3,0,1649992
955,1624181191.459384203,1624181191.559123755,959,959,0,1,0,0,1,2.770420198,36.517055018,-33.316004728,0.007759294,0.020692842,-0.060846377,0.997902459,1724,738,0.428074246,0.070722639,0.052137948,0.032290342,0.400967045,100.776291685,1594,0.806914568,264.835341969,417.038296563,604.348183655,0.205901764,0.166145133,0,1.000000000,1.000000000,1.000000000,0.000003698,0.000005256,0.000017090,0.091013617,-0.008434629,-0.995813928,0.000000003,0.000000009,0.000000010,-0.242127617,-0.969631969,0.034468266,0.000000000,0.403361080,0.195979233,6.080554439,0.011866458,99.783123112,0,238,216,22,0.138051044,51,0,0,0,0,0,1435,51,208480,426626,126175,3,0,1651427
956,1624181191.759377003,1624181191.859570742,961,960,0,1,0,0,1,2.875260155,37.356845623,-33.301770103,0.005154677,0.024808404,-0.059530952,0.997904824,1765,780,0.441926346,0.076696433,0.056738223,0.035388305,0.397497877,94.621319107,1612,0.808562150,267.679557294,399.554498489,636.168129491,0.205369885,0.166054316,0,1.000000000,1.000000000,1.000000000,0.000003588,0.000004276,0.000012647,0.095943748,-0.011356931,-0.995321967,0.000000002,0.000000007,0.000000008,-0.355687736,-0.929712004,0.095508241,0.000000000,0.410490499,0.193983206,6.692914456,0.012958999,99.011816895,0,198,173,25,0.112181303,66,0,0,0,0,0,1500,67,208551,426824,126241,3,0,1652927
