frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_active,transition_guard_triggered,transition_guard_retry_performed,transition_guard_measurement_noise_scale,transition_guard_armed,transition_guard_pause_frames_remaining,transition_guard_recovery_streak,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
666,1624181159.360165358,1624181159.460502863,671,670,0,0.066361123,0.156002402,1,0,0,0,1,16.917104604,83.905877295,-32.165592895,-0.029909080,0.047214492,-0.115927114,0.991683993,1439,647,0.449617790,0.093394787,0.071125776,0.039562593,0.668086406,80.169152090,1281,0.820719824,275.128822226,306.538882767,469.674389865,0.261692958,0.214776598,0,0,0,1.000000000,1,0,0,0.000002189,0.000003886,0.000007165,0.024507154,-0.209459266,-0.977510212,0.000000003,0.000000007,0.000000009,0.673378431,-0.734612519,0.083101961,0.000000000,0.633384140,0.324703085,5.070692681,0.101108679,86.756226087,0,0.268329363,0.222032044,290,252,38,0.201528839,74,0,0,0,0,0,1075,74,172796,335339,94870,0,0,1214513
667,1624181159.460162878,1624181159.560397863,672,671,0,0.055234096,0.096053804,1,0,0,0,1,16.840730811,83.645946644,-32.159446081,-0.028039205,0.045149485,-0.114856990,0.991959273,1424,634,0.445224719,0.067889987,0.041458868,0.028393075,0.687664676,88.052274889,1283,0.820306673,286.916505769,304.640736924,460.896218671,0.272616810,0.223629389,0,0,0,1.000000000,1,0,0,0.000002259,0.000004231,0.000007738,0.029404254,-0.185785098,-0.982150338,0.000000003,0.000000008,0.000000010,-0.214855815,0.975642399,-0.044259323,0.000000000,0.637735488,0.322352934,5.013196909,0.102916111,86.792255311,0,0.268721286,0.222166782,250,226,24,0.175561798,57,0,0,0,0,0,1116,58,172920,335589,94927,0,0,1215629
668,1624181159.560160637,1624181159.660274029,673,672,0,0.051593941,0.111335984,1,0,0,0,1,16.766665477,83.399164104,-32.142565731,-0.028128557,0.044145938,-0.113202028,0.992192129,1449,624,0.430641822,0.060608630,0.033908918,0.022091043,0.667577293,89.118035688,1295,0.816830843,280.297890746,318.655068270,458.842982383,0.264982952,0.216446248,0,0,0,1.000000000,1,0,0,0.000002281,0.000004432,0.000008070,0.051748482,-0.149405889,-0.987420870,0.000000003,0.000000008,0.000000010,-0.585418012,0.804295761,-0.101951360,0.000000000,0.641072583,0.324646058,5.089993214,0.106048269,86.594500150,0,0.268773617,0.222015628,251,229,22,0.173222912,49,0,0,0,0,0,1149,49,173032,335840,94976,0,0,1216778
669,1624181159.660158157,1624181159.760124683,673,673,0,0.244445826,0.321431768,1,0,0,0,1,16.664197496,83.122816015,-32.112838374,-0.028447288,0.044046366,-0.107166523,0.992857495,1474,642,0.435549525,0.098867308,0.064649851,0.044074368,0.645074822,83.469377404,1325,0.827668948,302.646109622,322.303996433,471.711250677,0.275970433,0.228412158,0,0,0,1.000000000,1,0,0,0.000002232,0.000004226,0.000007801,0.050812531,-0.148545085,-0.987599334,0.000000003,0.000000006,0.000000008,-0.230236996,0.972615177,-0.031790609,0.000000000,0.641812738,0.320001807,4.993411928,0.118117376,86.322132997,0,0.268847327,0.222080582,371,330,41,0.251696065,96,0,0,0,0,0,1006,97,173233,336211,95072,0,0,1217784
670,1624181159.860153198,1624181159.959876537,675,674,0,0.333064831,0.496084210,1,0,0,0,1,16.517544474,82.597437842,-32.060938196,-0.026902572,0.039701223,-0.085228279,0.995206614,1467,666,0.453987730,0.139064719,0.089881255,0.062065977,0.629237678,73.047911265,1307,0.822255064,284.208404208,331.986442687,458.492522151,0.264456820,0.217450960,0,0,0,1.000000000,1,0,0,0.000002818,0.000005253,0.000008863,0.078184148,-0.141199529,-0.986889017,0.000000003,0.000000006,0.000000007,-0.767401460,-0.631801963,-0.109184613,0.000000000,0.638997120,0.337251492,5.330331336,0.162425014,85.344063948,0,0.268528416,0.221717113,430,354,76,0.293115201,149,0,0,0,0,0,887,150,173435,336641,95221,0,0,1218671
671,1624181159.960150719,1624181160.059769869,676,675,0,0.371485790,0.483009965,1,0,0,0,1,16.449880252,82.308302320,-32.054948925,-0.022280883,0.035897796,-0.075820065,0.996225993,1473,639,0.433808554,0.109799994,0.077957831,0.058010408,0.676085373,85.340631631,1303,0.818911862,291.804720360,317.698831833,457.538604249,0.273470658,0.223948366,0,0,0,1.000000000,1,0,0,0.000002517,0.000004647,0.000008363,0.040529211,-0.170867171,-0.984460153,0.000000003,0.000000006,0.000000007,0.541290973,0.840811680,-0.006308828,0.000000000,0.639509930,0.329690577,5.409202232,0.180533163,85.265327610,0,0.268950968,0.221931199,302,268,34,0.205023761,96,0,0,0,0,0,1075,96,173571,336943,95317,0,0,1219746
672,1624181160.060148239,1624181160.159898520,677,676,0,0.216589836,0.277707001,1,0,1,1,1,16.380448592,82.052404187,-32.033580172,-0.021748283,0.029702968,-0.060073328,0.997514883,1423,661,0.464511595,0.213856005,0.153987919,0.112169859,0.689516489,89.776103802,1256,0.839362802,290.561452793,304.161620727,459.516605994,0.275612328,0.231338736,1,1,1,4.000000000,0,5,0,0.000004212,0.000007182,0.000012492,0.039335690,-0.181921055,-0.982526047,0.000000012,0.000000027,0.000000042,0.624650505,-0.779268717,0.050517464,0.050000000,0.641357031,0.417809580,5.423412853,0.210765576,84.911793319,1,0.269680900,0.222663541,0,0,0,0.000000000,0,0,0,0,0,0,0,1423,173571,336943,95317,0,0,1219746
673,1624181160.160145998,1624181160.260329008,678,677,0,0.149468404,0.191643313,1,0,0,0,1,16.302501062,81.796619119,-32.039462445,-0.017257539,0.023845082,-0.051128997,0.998258191,1462,679,0.464432285,0.101863360,0.077234636,0.049621391,0.715639748,75.439532232,1330,0.826260734,305.847402686,318.503795535,474.575578492,0.278314633,0.229960453,1,0,0,4.000000000,0,4,1,0.000005859,0.000009696,0.000016011,0.050084127,-0.160812922,-0.985713338,0.000000013,0.000000024,0.000000043,0.759373811,-0.649581139,0.037359853,0.050000000,0.647272647,0.408288541,5.444292784,0.227413759,84.486493194,0,0.270551326,0.223225413,0,0,0,0.000000000,0,0,0,0,0,0,0,1462,173571,336943,95317,0,0,1219746
674,1624181160.260143518,1624181160.360353470,679,678,0,0.107123549,0.202904318,1,0,0,0,1,16.231748125,81.549576955,-32.044659727,-0.015630221,0.017139642,-0.049133878,0.998522804,1448,710,0.490331492,0.063995836,0.035064608,0.025646372,0.670931632,70.570292841,1304,0.836818374,282.594511530,337.154631330,471.462016941,0.258973260,0.216713582,1,0,0,4.000000000,0,3,2,0.000006671,0.000011788,0.000018212,0.071289693,-0.155837167,-0.985206860,0.000000014,0.000000025,0.000000038,0.616678062,-0.781866815,0.091610324,0.050000000,0.648465304,0.420061689,5.450851365,0.231508243,83.875109137,0,0.269619976,0.222596930,0,0,0,0.000000000,0,0,0,0,0,0,0,1448,173571,336943,95317,0,0,1219746
675,1624181160.360141039,1624181160.460352421,680,679,0,0.114587158,0.189819448,1,0,0,0,1,16.168638368,81.295982135,-32.047248564,-0.016210383,0.014402111,-0.048215431,0.998601560,1462,670,0.458276334,0.065254006,0.040602945,0.028473986,0.678203898,77.837612303,1311,0.827747332,278.736539807,322.209190439,484.231022119,0.256858193,0.212613684,1,0,0,4.000000000,1,2,0,0.000007038,0.000012644,0.000020271,0.066739410,-0.169241179,-0.983312399,0.000000013,0.000000027,0.000000048,0.584550884,-0.810483595,0.037637836,0.050000000,0.650178892,0.418165306,5.461054494,0.231966329,83.498276368,0,0.269499073,0.222459326,0,0,0,0.000000000,0,0,0,0,0,0,0,1462,173571,336943,95317,0,0,1219746
676,1624181160.460138559,1624181160.560343027,681,680,0,0.104093843,0.129526436,1,0,0,0,1,16.109242497,81.039857146,-32.030435302,-0.021267499,0.012855969,-0.048203239,0.998528350,1466,681,0.464529332,0.064000982,0.042136590,0.027769297,0.604972813,77.929660355,1314,0.837359592,279.725374895,299.370382923,521.194745564,0.254228655,0.212880803,1,0,0,4.000000000,1,1,0,0.000006735,0.000013097,0.000022012,0.078349405,-0.128427059,-0.988619169,0.000000014,0.000000032,0.000000056,0.522349305,-0.852627568,-0.013320428,0.050000000,0.645247010,0.419339977,5.463344411,0.231738576,83.267215089,0,0.268454925,0.221799229,0,0,0,0.000000000,0,0,0,0,0,0,0,1466,173571,336943,95317,0,0,1219746
677,1624181160.560136080,1624181160.660145998,682,681,0,0.110235294,0.159299933,1,0,0,0,1,16.062753520,80.778398484,-32.000789333,-0.024863817,0.016121439,-0.048631135,0.998377134,1525,702,0.460327869,0.069116703,0.038439462,0.025485630,0.651569591,73.162017660,1352,0.834098087,274.111869752,350.610215056,502.978528643,0.243071491,0.202745466,0,0,0,1.000000000,1,0,0,0.000002939,0.000006656,0.000010458,0.032433952,-0.205265259,-0.978168805,0.000000004,0.000000007,0.000000013,0.042198644,-0.998644530,0.030469272,0.050000000,0.645600661,0.417147457,5.471877058,0.231782000,82.006280007,0,0.266951140,0.220702824,303,270,33,0.198688525,75,0,0,0,0,0,1143,79,173716,337246,95392,0,0,1220889
678,1624181160.660133839,1624181160.759980440,683,682,0,0.140300611,0.175414797,1,0,0,0,1,16.012136479,80.508643411,-32.020275146,-0.027435738,0.020528989,-0.048909428,0.998215262,1484,666,0.448787062,0.065030546,0.040647488,0.027333298,0.703554636,77.453612482,1313,0.826106162,284.016034173,334.384910641,466.276445469,0.261843786,0.216310765,0,0,0,1.000000000,1,0,0,0.000002384,0.000005094,0.000008063,0.067821286,-0.151629411,-0.986107902,0.000000004,0.000000007,0.000000010,0.358244265,-0.933188843,-0.028629160,0.050000000,0.652448200,0.412042785,5.488362548,0.231134286,81.819226851,0,0.266722573,0.220450959,330,298,32,0.222371968,58,0,0,0,0,0,1093,61,173876,337576,95450,0,0,1221982
679,1624181160.760131359,1624181160.859886408,683,683,0,0.098273310,0.154640151,1,0,0,0,1,15.974689747,80.252887366,-32.025422642,-0.026232201,0.024517663,-0.048929227,0.998156644,1481,677,0.457123565,0.063512135,0.035961936,0.023651880,0.616125437,75.526427262,1315,0.827875889,279.487306386,349.829924829,459.339562657,0.256726737,0.212537876,0,0,0,1.000000000,1,0,0,0.000002348,0.000004509,0.000007537,0.034409719,-0.243370998,-0.969322717,0.000000004,0.000000007,0.000000010,0.039567526,0.991338887,-0.125226280,0.050000000,0.652244710,0.411475519,5.463000002,0.231155453,81.429697142,0,0.266155119,0.220079677,307,286,21,0.207292370,66,0,0,0,0,0,1102,72,174029,337883,95516,0,0,1223084
680,1624181160.960126400,1624181161.059959173,685,684,0,0.072088457,0.141128019,1,0,0,0,1,15.914086374,79.720418647,-32.025609407,-0.027166741,0.032623062,-0.049094652,0.997891487,1507,672,0.445919044,0.066658377,0.042973675,0.025663953,0.709702042,86.660241726,1355,0.828678508,318.545710399,324.127918036,480.185749340,0.283691544,0.235089085,0,0,0,1.000000000,1,0,0,0.000002992,0.000005262,0.000010589,0.107024348,-0.158109545,-0.981604381,0.000000003,0.000000007,0.000000013,0.366935259,0.930194280,0.009854785,0.050000000,0.658524525,0.409370512,5.728236968,0.230024675,81.789840918,0,0.267030541,0.220869803,308,284,24,0.204379562,62,0,0,0,0,0,1132,67,174190,338191,95578,0,0,1224216
681,1624181161.060123920,1624181161.160014391,686,685,0,0.058629627,0.097181222,1,0,0,0,1,15.878681031,79.452584151,-31.991432814,-0.029198667,0.036168595,-0.049597824,0.997686988,1465,685,0.467576792,0.071010995,0.040960450,0.027580746,0.689262779,67.926393840,1298,0.824371572,283.221392924,339.332301644,447.480605599,0.264684406,0.218198300,0,0,0,1.000000000,1,0,0,0.000002487,0.000004533,0.000007074,0.049325563,-0.219463810,-0.974372939,0.000000003,0.000000006,0.000000009,0.133159756,-0.988158224,0.076235189,0.050000000,0.661391165,0.407038312,5.721708729,0.220472163,80.731720299,0,0.266895750,0.220790083,282,262,20,0.192491468,64,0,0,0,0,0,1115,68,174314,338473,95642,0,0,1225331
682,1624181161.160121679,1624181161.260032177,687,686,0,0.062302301,0.099448494,1,0,0,0,1,15.859755100,79.191383524,-31.983876873,-0.029934304,0.037580162,-0.049343088,0.997625645,1483,669,0.451112610,0.069681080,0.038437334,0.026151542,0.769581882,77.229542361,1347,0.810820117,304.043951412,339.054242559,449.076503514,0.278383991,0.225719340,0,0,0,1.000000000,1,0,0,0.000002414,0.000004049,0.000006572,0.025167212,-0.267077506,-0.963346364,0.000000003,0.000000006,0.000000008,0.319136152,0.944874122,-0.073246234,0.050000000,0.666335153,0.416003997,5.684985449,0.203530554,80.157656572,0,0.266934149,0.220595818,280,264,16,0.188806473,79,0,0,0,0,0,1124,79,174434,338753,95721,0,0,1226455
683,1624181161.260119200,1624181161.360048771,688,687,0,0.047521623,0.076857351,1,0,0,0,1,15.832207502,78.922182387,-31.994423017,-0.027891969,0.038759825,-0.049475358,0.997633150,1529,693,0.453237410,0.064342691,0.037068102,0.027062908,0.731834326,74.125820409,1353,0.813651082,310.206349907,336.447286772,454.216277859,0.281782930,0.229272986,0,0,0,1.000000000,1,0,0,0.000002378,0.000003909,0.000006509,0.074271883,-0.168584899,-0.982884947,0.000000003,0.000000007,0.000000009,0.325592570,0.945466030,-0.009135902,0.050000000,0.672043947,0.423461375,5.665315239,0.182727375,79.571647355,0,0.267024960,0.220475612,317,299,18,0.207325049,72,0,0,0,0,0,1138,74,174586,339070,95793,0,0,1227593
684,1624181161.360116720,1624181161.460010290,689,688,0,0.053229353,0.091773020,1,0,0,0,1,15.802605542,78.658519007,-31.990494540,-0.027381244,0.039536124,-0.049398725,0.997620633,1540,706,0.458441558,0.062048016,0.038617363,0.026508246,0.668291214,77.268709746,1377,0.816928722,310.401144042,364.740213042,449.769493648,0.275933994,0.225418405,0,0,0,1.000000000,1,0,0,0.000002393,0.000003808,0.000006845,0.078041647,-0.192418020,-0.978204890,0.000000003,0.000000008,0.000000009,0.915861616,0.401462549,0.005032141,0.050000000,0.675133064,0.421922830,5.646175371,0.160167020,79.077293785,0,0.267558214,0.220854057,284,272,12,0.184415584,59,0,0,0,0,0,1194,62,174704,339354,95852,0,0,1228787
685,1624181161.460114241,1624181161.560051918,690,689,0,0.045750877,0.072818365,1,0,0,0,1,15.780362523,78.388891813,-31.993768418,-0.026680597,0.039176591,-0.048829465,0.997681825,1508,685,0.454244032,0.063998831,0.036753712,0.027630712,0.697866970,70.702641448,1366,0.810650453,305.192497164,344.488584398,457.667437136,0.275606543,0.223420569,0,0,0,1.000000000,1,0,0,0.000002340,0.000003837,0.000006176,0.059467040,-0.232400464,-0.970800544,0.000000003,0.000000006,0.000000007,0.567543883,0.823300883,0.008342472,0.050000000,0.678538985,0.431509514,5.663501809,0.145320400,78.540299572,0,0.267945156,0.220844188,273,250,23,0.181034483,75,0,0,0,0,0,1159,76,174820,339627,95927,0,0,1229946
686,1624181161.560111761,1624181161.660046101,691,690,0,0.109236473,0.178223711,1,0,0,0,1,15.744420004,78.117832381,-31.987428848,-0.023777731,0.038992693,-0.048718039,0.997767880,1524,670,0.439632546,0.059721547,0.037507674,0.025805569,0.689582283,74.070883270,1382,0.812129559,301.629041641,344.563778507,476.170230400,0.268744629,0.218255457,0,0,0,1.000000000,1,0,0,0.000002347,0.000003803,0.000006462,0.036957314,-0.264394915,-0.963706120,0.000000003,0.000000006,0.000000009,-0.095719402,-0.994872096,0.032669704,0.050000000,0.679613779,0.443933962,5.666018986,0.143274949,78.235386131,0,0.268297740,0.221018131,280,259,21,0.183727034,52,0,0,0,0,0,1189,55,174935,339907,95979,0,0,1231135
687,1624181161.660109520,1624181161.760088921,692,691,0,0.142844635,0.195408819,1,0,0,0,1,15.712107759,77.851914246,-31.981794433,-0.020056678,0.039466495,-0.049479833,0.997793501,1492,703,0.471179625,0.065735889,0.039194083,0.026119482,0.734433265,69.737737298,1349,0.821962868,300.675115980,361.393851875,446.758940706,0.271164816,0.222887410,0,0,0,1.000000000,1,0,0,0.000002313,0.000003814,0.000006000,0.040921443,-0.264831681,-0.963425979,0.000000003,0.000000006,0.000000008,0.668163890,-0.730701323,0.140116355,0.050000000,0.681952209,0.445064493,5.675742655,0.141128904,77.319659251,0,0.268225140,0.220981032,282,267,15,0.189008043,80,0,0,0,0,0,1127,83,175051,340189,96059,0,0,1232262
688,1624181161.760107040,1624181161.860072374,693,692,0,0.124938864,0.170995289,1,0,0,0,1,15.676444547,77.573931571,-31.986256297,-0.015436944,0.038469049,-0.049161220,0.997930362,1499,685,0.456971314,0.065491067,0.041725134,0.030028751,0.703344874,64.985831338,1355,0.818339685,296.514665369,351.924066245,460.411541324,0.267407307,0.218830011,0,0,0,1.000000000,1,0,0,0.000002346,0.000003744,0.000005383,0.013952256,-0.281681813,-0.959406426,0.000000003,0.000000005,0.000000006,-0.252598372,0.964986033,-0.070682516,0.050000000,0.683740588,0.442192054,5.659810095,0.130014789,76.113049034,0,0.268346358,0.221100221,241,225,16,0.160773849,68,0,0,0,0,0,1187,71,175156,340430,96127,0,0,1233449
689,1624181161.860104561,1624181161.960013866,694,693,0,0.088290744,0.138110615,1,0,0,0,1,15.659478394,77.310787083,-31.997326221,-0.012309784,0.041610270,-0.048735167,0.997868698,1471,667,0.453433039,0.061147001,0.036376414,0.026165591,0.788771269,68.366242246,1329,0.816128991,295.386087238,340.122375713,449.126966547,0.272336749,0.222261917,0,0,0,1.000000000,1,0,0,0.000002443,0.000003742,0.000005595,0.070230445,-0.157800060,-0.984970469,0.000000004,0.000000007,0.000000009,-0.246015854,0.969136770,0.015815209,0.050000000,0.690925410,0.453359230,5.375807163,0.086366782,75.357892276,0,0.268164674,0.220792709,265,242,23,0.180149558,56,0,0,0,0,0,1147,59,175284,340695,96183,0,0,1234596
690,1624181161.960102081,1624181162.060127735,695,694,0,0.057099123,0.129953142,1,0,0,0,1,15.635794046,77.043594206,-31.996279772,-0.008415418,0.043264247,-0.048436648,0.997853334,1442,623,0.432038835,0.065485809,0.047913259,0.029715890,0.735759789,73.931028051,1332,0.816843543,297.837381075,337.958503092,452.239715536,0.273738636,0.223601637,0,0,0,1.000000000,1,0,0,0.000002538,0.000003644,0.000006212,0.111945557,-0.133647420,-0.984686021,0.000000003,0.000000009,0.000000011,0.592904132,-0.804025736,0.044802966,0.050000000,0.696251515,0.442537663,5.347041876,0.067747070,75.402048115,0,0.268628764,0.221100242,248,227,21,0.171983356,53,0,0,0,0,0,1141,53,175391,340943,96236,0,0,1235737
691,1624181162.060099602,1624181162.160057545,696,695,0,0.045017130,0.083300153,1,0,0,0,1,15.612462461,76.780468907,-32.001729852,-0.009471751,0.046121417,-0.047999746,0.997737002,1464,640,0.437158470,0.056108189,0.038509765,0.025453492,0.650900787,78.574480030,1334,0.809654815,293.107479426,327.479191839,459.492851327,0.271375832,0.219720749,0,0,0,1.000000000,1,0,0,0.000002452,0.000003736,0.000006408,0.082505847,-0.105511004,-0.990989512,0.000000003,0.000000008,0.000000011,0.632822533,-0.774037950,0.020022325,0.050000000,0.694992286,0.450275214,5.345245946,0.036450073,75.063740535,0,0.268524023,0.220888862,281,263,18,0.191939891,36,0,0,0,0,0,1146,37,175499,341224,96272,0,0,1236883
692,1624181162.160097361,1624181162.260017157,697,696,0,0.041914917,0.082895964,1,0,0,0,1,15.580873971,76.522227339,-31.973267734,-0.008439020,0.046199188,-0.047669703,0.997758496,1491,656,0.439973172,0.062927638,0.037533180,0.026673474,0.749979277,81.272339218,1344,0.809905330,314.700622539,325.935335124,447.876806462,0.289110641,0.234152249,0,0,0,1.000000000,1,0,0,0.000002400,0.000003723,0.000006664,0.054486344,-0.159417073,-0.985706566,0.000000003,0.000000007,0.000000011,0.377872462,-0.921876047,0.085772696,0.000000000,0.698015426,0.132298240,5.339501628,0.018764582,74.638552306,0,0.269198939,0.221029537,252,235,17,0.169014085,65,0,0,0,0,0,1172,67,175601,341476,96337,0,0,1238055
693,1624181162.260094881,1624181162.360021353,698,697,0,0.048146438,0.115621990,1,0,0,0,1,15.551249536,76.273111048,-31.941955952,-0.008117053,0.046840926,-0.047344572,0.997746728,1448,629,0.434392265,0.057988731,0.034171977,0.023329774,0.745289339,81.167427066,1326,0.813100034,303.946743837,320.302517939,453.921383902,0.281909682,0.229220772,0,0,0,1.000000000,1,0,0,0.000002425,0.000003805,0.000007001,0.013070264,-0.186132540,-0.982437706,0.000000003,0.000000008,0.000000011,-0.084549908,0.994939721,-0.054279505,0.000000000,0.699497905,0.055585498,5.335292781,0.015105945,74.924947047,0,0.269378691,0.220992553,252,230,22,0.174033149,41,0,0,0,0,0,1154,42,175710,341728,96378,0,0,1239209
694,1624181162.360092402,1624181162.460077763,699,698,0,0.075865096,0.164776904,1,0,0,0,1,15.526769898,76.018425536,-31.954578870,-0.010294375,0.046041169,-0.047443985,0.997759142,1459,638,0.437285812,0.058824413,0.037465673,0.025490473,0.748736711,72.378957433,1338,0.813838812,305.683045993,327.056229011,456.177054963,0.280722253,0.228462665,0,0,0,1.000000000,1,0,0,0.000002421,0.000003705,0.000006522,0.065724177,-0.161654834,-0.984656309,0.000000003,0.000000007,0.000000012,0.398046232,-0.915377740,0.060355531,0.000000000,0.703388159,0.058711268,5.330120783,0.013558775,75.015380277,0,0.270466141,0.221580007,222,209,13,0.152159013,56,0,0,0,0,0,1181,56,175796,341950,96434,0,0,1240390
695,1624181162.460089922,1624181162.560158253,700,699,0,0.160338124,0.214444935,1,0,0,0,1,15.490993599,75.768247204,-31.961469516,-0.012262526,0.044014964,-0.047395855,0.997830620,1476,670,0.453929539,0.075439297,0.049066632,0.031138620,0.721595358,65.154125837,1354,0.808475212,294.325526551,334.275834789,466.074075386,0.268870130,0.217374835,0,0,0,1.000000000,1,0,0,0.000002334,0.000003483,0.000005647,0.068886030,-0.190899970,-0.979189418,0.000000003,0.000000007,0.000000010,0.399926727,-0.909117545,0.116464166,0.000000000,0.705557732,0.070083618,5.319479304,0.013525065,74.381205954,0,0.271066738,0.221818065,239,224,15,0.161924119,69,0,0,0,0,0,1167,70,175878,342189,96503,0,0,1241557
696,1624181162.560087442,1624181162.660198927,701,700,0,0.198533643,0.265268973,1,0,0,0,1,15.452406384,75.526012225,-31.947742886,-0.018729547,0.043302469,-0.047304566,0.997765693,1430,645,0.451048951,0.059040172,0.035949695,0.023725564,0.777330418,71.976491894,1306,0.812201974,309.151200273,316.393144142,435.191433219,0.291449772,0.236716080,0,0,0,1.000000000,1,0,0,0.000002456,0.000003634,0.000006060,0.096463985,-0.154266324,-0.983309006,0.000000004,0.000000006,0.000000010,0.108777185,-0.989543748,0.094713750,0.000000000,0.714175612,0.072686895,5.297943043,0.012748938,74.083547531,0,0.272927793,0.223009829,274,262,12,0.191608392,46,0,0,0,0,0,1109,47,175990,342463,96549,0,0,1242666
697,1624181162.660084963,1624181162.760133505,702,701,0,0.120591501,0.207515812,1,0,0,0,1,15.405690569,75.287769017,-31.884484274,-0.027093298,0.041374963,-0.047540794,0.997644194,1526,677,0.443643512,0.065272067,0.043376029,0.028261630,0.844340454,62.561255163,1374,0.816398417,319.024405241,342.035017620,460.672002183,0.284403555,0.232186612,0,0,0,1.000000000,1,0,0,0.000002455,0.000003586,0.000005472,0.023834396,-0.218557356,-0.975532984,0.000000004,0.000000005,0.000000008,0.300979481,0.953610377,0.006212981,0.000000000,0.723814156,0.070863334,5.273675423,0.012901797,73.553509406,0,0.274994397,0.224481886,280,267,13,0.183486239,64,0,0,0,0,0,1181,65,176110,342743,96613,0,0,1243847
698,1624181162.760082722,1624181162.860008717,703,702,0,0.078109359,0.143613969,1,0,0,0,1,15.367173954,75.052358718,-31.845660628,-0.033032049,0.041813765,-0.047383128,0.997454426,1521,650,0.427350427,0.067336149,0.043602268,0.032001495,0.687050925,72.336473381,1369,0.819970144,318.415981624,355.412907163,448.710237971,0.283656911,0.232590198,0,0,0,1.000000000,1,0,0,0.000002532,0.000003856,0.000005927,-0.053931754,-0.381388936,-0.922840097,0.000000003,0.000000006,0.000000008,0.098608772,0.982835963,-0.155915939,0.000000000,0.722988970,0.071584845,5.256820423,0.012864729,73.297652451,0,0.276085053,0.225295858,316,296,20,0.207758054,63,0,0,0,0,0,1139,66,176242,343059,96676,0,0,1244986
699,1624181162.860080242,1624181162.959960938,704,703,0,0.073004304,0.127519635,1,0,0,0,1,15.327673122,74.799357090,-31.822148813,-0.038766444,0.040714534,-0.047162304,0.997303969,1502,654,0.435419441,0.063009867,0.040496672,0.026989095,0.742752536,78.085945841,1368,0.813803452,312.530023442,358.043048385,442.710050561,0.280728251,0.228457619,0,0,0,1.000000000,1,0,0,0.000002509,0.000004041,0.000006675,-0.033805836,-0.363679458,-0.930910531,0.000000004,0.000000006,0.000000008,-0.069830503,-0.989090660,0.129704924,0.000000000,0.729320325,0.071682507,4.978057779,0.012063618,73.425628380,0,0.277285129,0.226091845,262,247,15,0.174434088,62,0,0,0,0,0,1175,65,176365,343321,96738,0,0,1246161
700,1624181162.960077763,1624181163.059900761,705,704,0,0.076622373,0.117679600,1,0,0,0,1,15.295759724,74.548027269,-31.809008699,-0.041687812,0.041401568,-0.047537492,0.997140022,1528,652,0.426701571,0.058964366,0.034360650,0.025027143,0.801939600,77.727988942,1374,0.812269507,326.591299092,341.431999378,448.035004370,0.292629245,0.237693813,0,0,0,1.000000000,1,0,0,0.000002524,0.000003952,0.000006841,0.044063596,-0.250970263,-0.966991379,0.000000003,0.000000006,0.000000009,0.557798571,0.828943715,0.041389271,0.000000000,0.733932203,0.073496383,4.959428547,0.011728885,72.979015741,0,0.277732014,0.226222081,238,221,17,0.155759162,52,0,0,0,0,0,1235,55,176465,343559,96790,0,0,1247396
701,1624181163.060075283,1624181163.159945488,706,705,0,0.121532934,0.206727321,1,0,0,0,1,15.257218281,74.296558509,-31.804269341,-0.046798853,0.041065011,-0.047515484,0.996928187,1531,662,0.432397126,0.062310489,0.037801829,0.025432606,0.789978553,81.960772425,1386,0.808884238,323.815511684,348.493156170,448.804886636,0.288833821,0.233633125,0,0,0,1.000000000,1,0,0,0.000002433,0.000003758,0.000007196,0.065151301,-0.197737292,-0.978087558,0.000000003,0.000000005,0.000000010,0.520263833,0.853847887,0.016411252,0.000000000,0.738967991,0.069139706,4.951883467,0.011690426,73.680734670,0,0.278939484,0.226993823,245,229,16,0.160026127,61,0,0,0,0,0,1225,61,176571,343804,96851,0,0,1248621
