frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,transition_guard_triggered,transition_guard_turn_residual_triggered,transition_guard_map_active,transition_guard_map_hold_remaining,transition_guard_history_ready,lidar_nominal_correction_translation,lidar_nominal_correction_rotation,lidar_correction_translation_threshold,lidar_correction_rotation_threshold,transition_guard_localizability_drop,transition_guard_nominal_residual,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_voxel_rejected
271,1624181116.961197138,1624181117.061096668,276,275,0,0.058738864,0.101779542,1,0,0,0,1,0.333613269,0.367924367,-7.437885720,-0.001784326,0.065832311,0.002568825,0.997825799,4131,2583,0.625272331,0.080753396,0.047594256,0.033422166,0.684273228,42.045448223,3521,0.886564491,838.145817354,1098.881753308,1184.566000954,0.268499341,0.238041982,0,0,0,0,1,0.067388732,0.000604404,0.113856722,0.030000000,1.043019322,0.080753396,0.000000861,0.000001205,0.000001605,-0.131038483,-0.068877321,-0.988981714,0.000000001,0.000000002,0.000000003,-0.029102692,0.975813448,-0.216659060,0.000000000,0.682289853,0.210447250,3.159194331,0.009846330,36.911100593,0,0.269077303,0.239038093,1171,1114,57,0.283466473,441,0,0,0,0,0,2519,441,50694,99262,31517,0,0,583996
272,1624181117.061194897,1624181117.161144495,277,276,0,0.145735498,0.185287132,1,0,0,0,1,0.322534840,0.366507937,-7.580845670,-0.001465564,0.065968526,0.002903780,0.997816403,4189,2581,0.616137503,0.083592436,0.051687021,0.035830143,0.691112150,44.448123304,3536,0.882452219,867.433049725,1085.395202053,1167.522794384,0.277992135,0.245314777,0,0,0,0,1,0.025899953,0.013066654,0.117838453,0.030000000,1.062197591,0.083592436,0.000000837,0.000001163,0.000001549,-0.127602540,-0.127087224,-0.983649546,0.000000001,0.000000002,0.000000002,-0.043760038,0.986273669,-0.159214666,0.000000000,0.686062154,0.183975023,3.151082210,0.010309400,37.405518714,0,0.270242333,0.239802230,1257,1192,65,0.300071616,468,0,0,0,0,0,2464,468,51383,100519,31985,0,0,586460
273,1624181117.161192417,1624181117.261156797,278,277,0,0.241952348,0.288628553,1,0,0,0,1,0.301079568,0.353087239,-7.746272159,-0.001795787,0.060680762,0.003046567,0.998150960,4156,2538,0.610683349,0.077549168,0.047996417,0.033030371,0.633957218,44.673550942,3522,0.882684614,852.390453339,1107.914931788,1148.509824201,0.274184986,0.242018868,0,0,0,0,1,0.035976915,0.014526611,0.104647676,0.030000000,1.028537889,0.077549168,0.000000810,0.000001179,0.000001630,-0.098645563,-0.150038943,-0.983746598,0.000000001,0.000000001,0.000000003,-0.047225469,0.986257494,-0.158322171,0.000000000,0.686623001,0.109588649,3.143175534,0.010355283,37.922782663,0,0.271200752,0.240413463,1251,1199,52,0.301010587,382,0,0,0,0,0,2522,383,52068,101770,32367,0,0,588982
274,1624181117.261189938,1624181117.361164331,279,278,0,0.186953682,0.269987087,1,0,0,0,1,0.279873281,0.352910051,-7.927973352,-0.000756612,0.054127866,0.003031206,0.998529125,4200,2509,0.597380952,0.067310032,0.038176513,0.026391613,0.648642007,42.482067314,3572,0.878057409,879.913080310,1105.133288683,1151.374696932,0.280546860,0.246336249,0,0,0,0,1,0.033368763,0.008094338,0.103422244,0.030000000,1.038346253,0.067310032,0.000000823,0.000001169,0.000001670,-0.103749944,-0.081796398,-0.991234230,0.000000001,0.000000002,0.000000003,-0.073964348,0.976737238,-0.201280014,0.000000000,0.686556214,0.108110719,3.113631540,0.008661019,38.344992672,0,0.272266579,0.241073556,1251,1174,77,0.297857143,334,0,0,0,0,0,2614,335,52747,103021,32701,0,0,591596
275,1624181117.361187458,1624181117.461190701,280,279,0,0.119394182,0.185610531,1,0,0,0,1,0.254817737,0.355435696,-8.099432377,-0.000701166,0.045487068,0.002934669,0.998960371,4094,2497,0.609916952,0.074739233,0.041982038,0.029461222,0.626563478,44.062960153,3490,0.883866223,905.581886058,1042.774633246,1136.336598264,0.293572764,0.259479050,0,0,0,0,1,0.011289326,0.004340227,0.117838453,0.030000000,1.093009511,0.074739233,0.000000829,0.000001102,0.000001869,0.118602509,0.056283178,0.991345373,0.000000001,0.000000002,0.000000003,-0.012553958,0.988845133,-0.148417322,0.000000000,0.684438200,0.107811849,3.102077610,0.008405341,38.808247213,0,0.273870930,0.242373438,1191,1100,91,0.290913532,387,0,0,0,0,0,2516,387,53400,104212,33088,0,0,594112
276,1624181117.461184978,1624181117.561151028,281,280,0,0.061278390,0.125847670,1,0,0,0,1,0.234020310,0.353412931,-8.264487827,-0.000912757,0.038095983,0.003036353,0.999269055,4124,2439,0.591416101,0.070895039,0.042472667,0.027615724,0.606565329,44.206589407,3474,0.877421894,891.571372079,1012.406546203,1144.185743180,0.292494587,0.256641155,0,0,0,0,1,0.013744036,0.009802041,0.121031854,0.030000000,1.079486324,0.070895039,0.000000820,0.000001144,0.000001827,0.109161150,0.009345138,0.993980136,0.000000001,0.000000002,0.000000003,-0.053484535,0.990346757,-0.127877696,0.000000000,0.683724014,0.107143960,3.134975592,0.008382117,39.126714302,0,0.275774036,0.243836358,1204,1099,105,0.291949564,342,0,0,0,0,0,2578,342,54067,105416,33430,0,0,596690
277,1624181117.561182737,1624181117.661097050,282,281,0,0.038793614,0.068905235,1,0,0,0,1,0.207165396,0.354213039,-8.449952934,-0.001263698,0.034669345,0.003061668,0.999393349,4057,2390,0.589105250,0.066741518,0.039220277,0.026639850,0.538277653,45.679510533,3409,0.876431347,890.563660280,923.151592667,1174.039208673,0.298071234,0.261238973,0,0,0,0,1,0.013903929,0.006861009,0.121023261,0.030000000,1.095725033,0.066741518,0.000000791,0.000001128,0.000001898,0.097913088,-0.027411109,0.994817399,0.000000001,0.000000002,0.000000003,-0.051777410,0.993996814,-0.096381711,0.000000000,0.677984757,0.105762111,3.209130487,0.007807217,39.586759693,0,0.277849333,0.245496866,1131,1038,93,0.278777422,288,0,0,0,0,0,2638,288,54700,106547,33718,0,0,599328
278,1624181117.661180258,1624181117.761062384,283,282,0,0.033456648,0.061557417,1,0,0,0,1,0.188905954,0.345268081,-8.564600564,-0.000911958,0.032239063,0.003205580,0.999474630,4097,2402,0.586282646,0.062875855,0.036933374,0.025323861,0.562005201,46.733265652,3441,0.874576277,906.494747863,968.139841719,1134.782378246,0.301219392,0.263439334,0,0,0,0,1,0.067587771,0.005974914,0.118590283,0.030000000,1.097635204,0.062875855,0.000000816,0.000001126,0.000001897,0.106660525,0.003755847,0.994288402,0.000000001,0.000000002,0.000000003,-0.001664832,0.995895832,-0.090491542,0.000000000,0.668698843,0.106441019,3.210392420,0.007321087,40.250781905,0,0.279347240,0.246607760,1171,1091,80,0.285818892,262,0,0,0,0,0,2664,262,55353,107718,33980,0,0,601992
279,1624181117.761177778,1624181117.860965014,284,283,0,0.149708214,0.207204539,1,0,0,0,1,0.179322706,0.330046315,-8.676311073,0.001759165,0.034394826,0.003071133,0.999402056,3988,2357,0.591023069,0.066961950,0.040479466,0.026647938,0.542026517,45.388904258,3371,0.875702730,877.433825419,924.884364883,1149.675711285,0.297234295,0.260288883,0,0,0,0,1,0.024515850,0.003489877,0.139055380,0.030000000,1.079039903,0.066961950,0.000000816,0.000001108,0.000001962,0.086993410,0.016021910,0.996080039,0.000000001,0.000000002,0.000000003,-0.065041983,0.992892598,-0.099668601,0.000000000,0.658827011,0.106003142,3.161820873,0.007239638,40.819574142,0,0.280676356,0.247561010,1146,1082,64,0.287362086,294,0,0,0,0,0,2546,296,55948,108864,34274,0,0,604538
280,1624181117.861175299,1624181117.961073637,284,284,0,0.319564851,0.381889940,1,0,0,0,1,0.167459399,0.320381578,-8.711873732,0.009073964,0.034838670,0.003098407,0.999346952,4030,2384,0.591563275,0.088034941,0.052056378,0.036803960,0.512604894,47.509348872,3386,0.873916119,888.191445643,916.807702590,1154.080829021,0.300157972,0.262312890,0,0,0,0,1,0.083964591,0.015675165,0.118590283,0.030000000,1.085636091,0.088034941,0.000000800,0.000001107,0.000002066,0.090717182,0.006591570,0.995854881,0.000000001,0.000000001,0.000000002,-0.018050164,0.990735184,-0.134603071,0.000000000,0.648443681,0.120096483,3.041480050,0.007612688,41.384237172,0,0.282313426,0.248804376,1127,1057,70,0.279652605,463,0,0,0,0,0,2439,464,56531,109991,34737,0,0,606977
281,1624181118.061170578,1624181118.161195278,286,285,0,0.156259799,0.325578524,1,0,0,0,1,0.120852572,0.308559741,-9.203420719,0.029339388,0.038161575,0.002089609,0.998838590,4052,2427,0.598963475,0.076940233,0.047415165,0.033615572,0.525127440,51.196361946,3330,0.876733616,901.807959713,949.626033689,1068.088946300,0.308888808,0.270813201,1,0,1,5,1,0.375339948,0.007258593,0.118590283,0.030000000,1.114605578,0.076940233,0.000000905,0.000001259,0.000002587,0.068966762,-0.039960676,0.996818303,0.000000001,0.000000002,0.000000004,-0.008901413,0.986755515,-0.161970114,0.000000000,0.639874093,0.115280647,3.362803246,0.007276416,42.121343148,0,0.284426123,0.250488726,1256,1172,84,0.309970385,413,0,0,0,0,0,2383,413,57262,111247,35150,0,0,609360
282,1624181118.161168098,1624181118.261202812,287,286,0,0.185647929,0.207365425,1,0,0,0,1,0.103548740,0.315901836,-9.403162104,0.036861303,0.040147430,0.001891226,0.998511818,4044,2431,0.601137488,0.065614892,0.037189888,0.026201534,0.532735357,53.690880611,3390,0.874459181,890.084166454,947.287453547,1127.045004816,0.300256097,0.262561701,0,0,1,4,1,0.038768725,0.001456556,0.118590283,0.030000000,1.080644279,0.065614892,0.000000747,0.000001019,0.000002182,0.072653475,-0.060288989,0.995533380,0.000000001,0.000000002,0.000000003,0.078528173,0.992367325,-0.095081114,0.000000000,0.629692298,0.110939353,3.357495730,0.007294810,43.026608573,0,0.285698862,0.251412883,1294,1240,54,0.319980218,277,0,0,0,0,0,2473,277,57997,112541,35427,0,0,611833
283,1624181118.261165619,1624181118.361189604,288,287,0,0.178216149,0.211728119,1,0,0,0,1,0.088626199,0.322769592,-9.600451632,0.044028537,0.041677327,0.001614476,0.998159247,4017,2447,0.609161065,0.064685309,0.039024919,0.026601378,0.532372960,55.675534925,3379,0.878862071,916.218583132,951.052597213,1102.403756103,0.308524873,0.271150809,0,0,1,3,1,0.021066712,0.002385925,0.118590283,0.030000000,1.115995095,0.064685309,0.000000784,0.000001081,0.000002315,0.072597123,-0.072229501,0.994742458,0.000000001,0.000000002,0.000000003,0.088808248,0.991923191,-0.090562013,0.000000000,0.620604130,0.106074466,3.401452077,0.007348833,43.950459353,0,0.287643182,0.253030868,1291,1220,71,0.321384118,277,0,0,0,0,0,2449,277,58734,113832,35704,0,0,614282
284,1624181118.361163139,1624181118.461122274,289,288,0,0.129061112,0.198613334,1,0,0,0,1,0.075066403,0.345458205,-9.783923399,0.051117033,0.040967747,0.001532790,0.997850862,3999,2417,0.604401100,0.062094154,0.037671801,0.025674053,0.450357110,56.439353518,3309,0.878502287,854.483486478,936.345383097,1116.135199603,0.293943601,0.258230126,0,0,1,2,1,0.024956563,0.002980029,0.118590283,0.030000000,1.062816500,0.062094154,0.000000770,0.000001076,0.000002734,0.091308682,-0.055766987,0.994259910,0.000000001,0.000000002,0.000000004,0.119089686,0.992246689,-0.035554944,0.000000000,0.609494361,0.106456187,3.424778746,0.007449132,44.832636631,0,0.288876049,0.254074781,1238,1169,69,0.309577394,251,0,0,0,0,0,2510,251,59399,115070,35955,0,0,616792
285,1624181118.461160660,1624181118.561083794,290,289,0,0.084846201,0.178584951,1,0,0,0,1,0.069898517,0.370150303,-9.926524056,0.057609153,0.041912534,0.001255710,0.997458244,3877,2417,0.623420170,0.061754447,0.036957863,0.025506102,0.526272598,60.537308982,3233,0.884764663,859.222293475,915.357013576,1085.864848318,0.300380726,0.265766252,0,0,1,1,1,0.052994466,0.003457950,0.118590283,0.030000000,1.093833483,0.061754447,0.000000794,0.000001101,0.000002757,0.074631909,-0.061208311,0.995330910,0.000000001,0.000000002,0.000000003,0.110767786,0.990673204,-0.079354271,0.000000000,0.601697182,0.105064626,3.414451180,0.006266546,46.044309907,0,0.289923039,0.255078859,1243,1178,65,0.320608718,253,0,0,0,0,0,2381,253,60084,116313,36208,0,0,619173
286,1624181118.561158180,1624181118.661092520,291,290,0,0.039398412,0.086507918,1,0,0,0,1,0.058800637,0.403639945,-10.116860548,0.061409679,0.041087700,0.001210888,0.997265855,4000,2434,0.608500000,0.063031097,0.037364644,0.026148374,0.505958171,59.964184705,3330,0.881961487,900.720090880,907.730818369,1128.480843460,0.306687443,0.270486514,0,0,1,0,1,0.027321612,0.004128767,0.118590283,0.030000000,1.113261007,0.063031097,0.000000779,0.000001118,0.000002806,0.083096783,-0.047912565,0.995389025,0.000000001,0.000000002,0.000000003,0.227602669,0.973627179,-0.015720737,0.000000000,0.592146388,0.107159648,3.435833691,0.005365849,47.195391157,0,0.291200238,0.256168086,1235,1174,61,0.308750000,266,0,0,0,0,0,2499,266,60736,117548,36474,0,0,621672
287,1624181118.661155939,1624181118.761154652,292,291,0,0.024587307,0.057475186,1,0,0,0,1,0.046437335,0.458855353,-10.309496730,0.063797653,0.040968650,0.001249045,0.997120790,3938,2459,0.624428644,0.061867118,0.034949081,0.024716776,0.511503685,66.553975586,3346,0.886511240,900.103330479,925.052456148,1141.110822734,0.303446537,0.269008766,0,0,0,0,1,0.015183045,0.006618870,0.118590283,0.030000000,1.105479450,0.061867118,0.000000774,0.000001112,0.000003167,0.081739924,-0.057333568,0.995003240,0.000000001,0.000000002,0.000000003,0.272618272,0.961727452,-0.027560594,0.000000000,0.583800756,0.110230878,3.396616103,0.004530335,48.594761815,0,0.292201681,0.257162313,1200,1145,55,0.304723210,260,0,0,0,0,0,2478,260,61332,118748,36734,0,0,624150
288,1624181118.761153460,1624181118.861121416,293,292,0,0.050010962,0.076106534,1,0,0,0,1,0.045060985,0.527646199,-10.428371333,0.066412771,0.040908336,0.001171314,0.996952597,3948,2574,0.651975684,0.058574920,0.038008918,0.025983465,0.505233387,68.599440989,3369,0.889740811,882.588487951,921.472912087,1193.475392365,0.294437917,0.261973431,0,0,0,0,1,0.071914512,0.001649685,0.118590283,0.030000000,1.068943339,0.058574920,0.000000717,0.000001061,0.000003220,0.088854350,-0.077557390,0.993020521,0.000000001,0.000000002,0.000000003,0.306984756,0.951702869,-0.004691397,0.000000000,0.575918273,0.114239197,3.334014037,0.004551674,50.045734749,0,0.292718404,0.257736663,1048,998,50,0.265450861,245,0,0,0,0,0,2654,246,61822,119796,36979,0,0,626804
289,1624181118.861150980,1624181118.961096048,294,293,0,0.086109999,0.122872811,1,0,0,0,1,0.041649370,0.603634570,-10.587338633,0.068077699,0.040689510,0.001326726,0.996849051,3904,2475,0.633965164,0.059050933,0.035521533,0.024947545,0.450758825,70.451082809,3350,0.884870566,857.337667888,911.491890927,1195.486836618,0.289219352,0.255921692,0,0,0,0,1,0.015304643,0.003470672,0.139055380,0.030000000,1.044436497,0.059050933,0.000000752,0.000001153,0.000003774,0.092222175,-0.088773195,0.991773356,0.000000002,0.000000002,0.000000003,0.430849060,0.899959092,0.066653731,0.000000000,0.563385690,0.119750760,3.334654144,0.004671823,51.633022093,0,0.293374673,0.258336917,1159,1115,44,0.296875000,240,0,0,0,0,0,2504,241,62395,120955,37219,0,0,629308
290,1624181118.961148500,1624181119.061114311,295,294,0,0.102708834,0.117205719,1,0,0,0,1,0.026674279,0.692913729,-10.768731022,0.071823728,0.040646565,0.001267624,0.996587980,3894,2393,0.614535182,0.055442450,0.032463762,0.022837133,0.438256468,74.288287832,3258,0.878907380,806.814784654,898.522995175,1158.142465360,0.281760206,0.247641125,0,0,0,0,1,0.032490038,0.002509180,0.118590283,0.030000000,1.008722571,0.055442450,0.000000750,0.000001138,0.000004076,0.085358482,-0.089875863,0.992288395,0.000000002,0.000000002,0.000000004,0.231980835,0.971405348,-0.050562259,0.000000000,0.551230184,0.128130133,3.422383675,0.004819244,53.231309028,0,0.293575956,0.258433289,1102,1049,53,0.282999486,192,0,0,0,0,0,2600,192,62943,122057,37411,0,0,631908
291,1624181119.061146021,1624181119.160833120,296,295,0,0.094496613,0.124444829,1,0,0,0,1,0.009115633,0.795351906,-10.972383940,0.075065046,0.040524123,0.001235774,0.996354107,3915,2493,0.636781609,0.055393322,0.033338235,0.022877589,0.475218671,64.715998948,3324,0.880525311,828.344343181,885.866468379,1212.655322862,0.283014086,0.249201066,0,0,0,0,1,0.039315617,0.002917083,0.115770613,0.030000000,1.014252703,0.055393322,0.000000745,0.000001262,0.000003175,0.085133377,-0.082523860,0.992946182,0.000000002,0.000000002,0.000000003,0.173387362,0.984136192,-0.037586948,0.000000000,0.540777456,0.129940848,3.507628442,0.004284323,54.364836564,0,0.294301694,0.258991243,1057,1008,49,0.269987229,215,0,0,0,0,0,2643,215,63419,123114,37626,0,0,634551
292,1624181119.161143780,1624181119.261024952,297,296,0,0.035387461,0.096700974,1,0,0,0,1,0.004753481,0.908253940,-11.156429733,0.078132564,0.039873227,0.001299205,0.996144437,3867,2445,0.632273080,0.054481808,0.033036422,0.022829694,0.454820734,71.910380173,3298,0.880724989,836.580936564,878.031353879,1190.018722840,0.288016252,0.253663110,0,0,0,0,1,0.010318733,0.003473860,0.115010189,0.030000000,1.028651896,0.054481808,0.000000720,0.000001191,0.000003709,0.094744213,-0.072756586,0.992839369,0.000000002,0.000000002,0.000000003,0.411238601,0.909188351,0.065263734,0.000000000,0.528962885,0.126026405,3.556237483,0.004300295,55.737949408,0,0.294802899,0.259408660,1064,1006,58,0.275148694,191,0,0,0,0,0,2612,191,63937,124178,37817,0,0,637163
293,1624181119.261141300,1624181119.360979557,298,297,0,0.061170099,0.082138458,1,0,0,0,1,0.003002006,1.037223123,-11.326699307,0.082827915,0.040233418,0.001590364,0.995750109,3851,2455,0.637496754,0.055884498,0.034889891,0.024741288,0.421438775,70.798637528,3267,0.884758585,791.736632759,852.161557008,1246.608108501,0.273909326,0.242343628,0,0,0,0,1,0.008403094,0.005749083,0.115770613,0.030000000,0.975303714,0.055884498,0.000000729,0.000001275,0.000004098,0.093062483,-0.092351713,0.991368012,0.000000002,0.000000002,0.000000003,0.570964597,0.816880875,0.081884465,0.000000000,0.518336963,0.124948074,3.586909655,0.005217601,57.044203737,0,0.294789116,0.259424898,1062,1016,46,0.275772527,207,0,0,0,0,0,2582,207,64483,125240,38024,0,0,639745
294,1624181119.361138821,1624181119.461086273,299,298,0,0.055532981,0.077415573,1,0,0,0,1,0.001177684,1.186985336,-11.491240947,0.084635967,0.040878595,0.001848359,0.995571332,3937,2534,0.643637287,0.054802752,0.033674180,0.023155050,0.427722362,70.555718609,3321,0.884382555,834.999110949,878.099395286,1223.935959920,0.284300072,0.251430024,0,0,0,0,1,0.008125642,0.001066942,0.102253673,0.030000000,1.012301845,0.054802752,0.000000693,0.000001159,0.000003874,0.095450413,-0.093810509,0.991003939,0.000000002,0.000000002,0.000000003,0.372840537,0.927806724,-0.012830307,0.000000000,0.507290981,0.130042807,3.636110631,0.005805744,58.447886302,0,0.294976777,0.259679587,1000,952,48,0.254000508,192,0,0,0,0,0,2743,194,64951,126240,38216,0,0,642488
295,1624181119.461136341,1624181119.561037064,300,299,0,0.057855372,0.103117589,1,0,0,0,1,0.000145973,1.345381231,-11.645359747,0.084046124,0.041304955,0.001775934,0.995603835,3937,2545,0.646431293,0.055377324,0.032328487,0.022166311,0.439524346,67.917500523,3361,0.885274837,849.393454704,892.979558632,1233.035714378,0.285471185,0.252720457,0,0,0,0,1,0.011846125,0.001576946,0.100000000,0.030000000,1.014280784,0.055377324,0.000000692,0.000001159,0.000003507,0.094692119,-0.104224118,0.990035724,0.000000002,0.000000002,0.000000003,0.287067352,0.957868426,0.008967365,0.000000000,0.497939024,0.129149541,3.690742143,0.005733408,59.640613320,0,0.294571698,0.259341657,1004,969,35,0.255016510,214,0,0,0,0,0,2719,214,65403,127244,38430,0,0,645207
296,1624181119.561133862,1624181119.661053181,301,300,0,0.181673301,0.248789447,1,0,0,0,1,-0.007648636,1.531547802,-11.829754919,0.080533548,0.040769825,0.002020042,0.995915703,3904,2489,0.637551230,0.058069058,0.035038812,0.023436308,0.440881851,75.078485957,3354,0.883228829,825.909913780,891.834276673,1244.605303125,0.278802321,0.246246247,0,0,0,0,1,0.030110462,0.009089084,0.100000000,0.030000000,0.987305282,0.058069058,0.000000707,0.000001208,0.000003806,0.102523646,-0.087242474,0.990897398,0.000000002,0.000000002,0.000000003,0.247998760,0.968749432,-0.004599282,0.000000000,0.489654850,0.128212704,3.765486771,0.005813473,61.184208148,0,0.293887085,0.258821911,939,895,44,0.240522541,214,0,0,0,0,0,2750,215,65830,128183,38644,0,0,647957
297,1624181119.661131620,1624181119.760953665,302,301,0,0.152141607,0.218749018,1,0,0,0,1,-0.007239370,1.705556806,-11.964483744,0.078967384,0.042588655,0.001942566,0.995965153,3902,2478,0.635058944,0.058470572,0.036166981,0.025447941,0.427456502,72.427132489,3312,0.883941036,793.697763802,883.568608199,1250.346337957,0.271107500,0.239643045,0,0,0,0,1,0.046585965,0.013268762,0.100000000,0.030000000,0.960056094,0.058470572,0.000000704,0.000001232,0.000003865,0.091609228,-0.096008059,0.991155993,0.000000001,0.000000002,0.000000003,0.707013220,0.692663053,0.142654134,0.000000000,0.484113793,0.128709975,3.869120900,0.005506456,62.521589246,0,0.292538898,0.257742115,1041,983,58,0.266786263,217,0,0,0,0,0,2644,217,66299,129224,38861,0,0,650601
298,1624181119.761129141,1624181119.861077070,303,302,0,0.072975573,0.136237532,1,0,0,0,1,0.000474983,1.903777423,-12.032859027,0.075241581,0.043580988,0.002084918,0.996210347,3843,2464,0.641165756,0.061541535,0.034549925,0.024240139,0.423331043,69.144749828,3348,0.882707575,804.819223188,856.663052236,1293.822686807,0.272330346,0.240388059,0,0,0,0,1,0.088328385,0.004959782,0.102796931,0.030000000,0.964386481,0.061541535,0.000000687,0.000001239,0.000003423,0.088701473,-0.087366416,0.992219309,0.000000002,0.000000002,0.000000003,0.264078830,0.964442434,-0.010637807,0.000000000,0.477180085,0.128811977,3.965795517,0.005537506,63.642163454,0,0.291094446,0.256589551,1081,1036,45,0.281290658,243,0,0,0,0,0,2519,243,66837,130305,39104,0,0,653120
299,1624181119.861126661,1624181119.961138964,304,303,0,0.039158450,0.073474868,1,0,0,0,1,-0.008022538,2.122616527,-12.217051535,0.068529280,0.042290756,0.002443888,0.996749345,3894,2442,0.627118644,0.060647460,0.036319705,0.026487696,0.396425503,70.889662394,3337,0.875397745,801.261885242,845.054627870,1274.885762353,0.274291819,0.240114440,0,0,0,0,1,0.074196118,0.011091767,0.116150645,0.030000000,0.964651658,0.060647460,0.000000698,0.000001287,0.000003690,0.093535469,-0.087088261,0.991799753,0.000000001,0.000000002,0.000000003,0.513870048,0.852968376,0.091556123,0.000000000,0.469900034,0.128141826,4.213244222,0.005016895,64.917201361,0,0.289947322,0.255580829,943,891,52,0.242167437,258,0,0,0,0,0,2692,259,67276,131248,39362,0,0,655812
300,1624181119.961124182,1624181120.061163425,305,304,0,0.093202135,0.134582456,1,0,0,0,1,-0.009717872,2.346808909,-12.394663884,0.066732927,0.042824303,0.002336216,0.996848704,3815,2468,0.646920052,0.056312195,0.035913515,0.024851896,0.383161907,65.150279901,3289,0.876800159,767.890315778,837.475297958,1278.430109213,0.266277639,0.233472276,0,0,0,0,1,0.018921066,0.003806078,0.121778332,0.030000000,0.937966989,0.056312195,0.000000680,0.000001182,0.000003494,0.104283458,-0.092786439,0.990209895,0.000000002,0.000000002,0.000000003,0.285164347,0.958338376,0.016396734,0.000000000,0.463427885,0.085286452,4.005377775,0.004902584,65.799247913,0,0.288253305,0.254138798,945,902,43,0.247706422,225,0,0,0,0,0,2645,225,67687,132193,39587,0,0,658457
301,1624181120.061121702,1624181120.161047935,306,305,0,0.131427986,0.169991168,1,0,0,0,1,-0.009420276,2.585683132,-12.584329735,0.063064556,0.041876174,0.002363071,0.997127707,3785,2453,0.648084544,0.055645682,0.033556258,0.023302376,0.383936475,67.610927904,3234,0.883483588,759.054135158,834.929236552,1263.202551000,0.265664943,0.234710617,0,0,0,0,1,0.011819575,0.005352046,0.105135771,0.030000000,0.940782704,0.055645682,0.000000713,0.000001280,0.000003616,0.098378602,-0.086118860,0.991415752,0.000000001,0.000000002,0.000000003,0.297000090,0.954701652,0.018322197,0.000000000,0.456368336,0.057929686,4.109768820,0.004958488,66.619976210,0,0.286092112,0.252333669,989,951,38,0.261294584,214,0,0,0,0,0,2582,214,68165,133182,39801,0,0,661039
302,1624181120.161119461,1624181120.260976315,307,306,0,0.147664413,0.205004378,1,0,0,0,1,-0.006717434,2.828095398,-12.762344441,0.057454081,0.041505051,0.002518344,0.997481838,3825,2442,0.638431373,0.056509869,0.035417924,0.024639843,0.329358443,69.181492622,3284,0.883777132,728.815735094,886.724048482,1286.784318050,0.251114524,0.221929274,0,0,0,0,1,0.016754651,0.003509760,0.107192469,0.030000000,0.889256212,0.056509869,0.000000679,0.000001168,0.000003988,0.101360777,-0.097860815,0.990024875,0.000000002,0.000000002,0.000000004,0.364115187,0.931099734,0.021758118,0.000000000,0.446199491,0.052743760,4.212562685,0.005002254,67.394506811,0,0.283635033,0.250302048,1002,947,55,0.261960784,225,0,0,0,0,0,2597,226,68671,134184,40026,0,0,663636
303,1624181120.261116982,1624181120.360931873,308,307,0,0.092992140,0.153586905,1,0,0,0,1,0.000482101,3.075662564,-12.889469475,0.052582519,0.040676641,0.002080505,0.997785629,3755,2412,0.642343542,0.057579155,0.034244091,0.023917082,0.317068083,71.253851129,3192,0.883552676,693.943800377,865.172395716,1261.183945576,0.246053174,0.217400940,0,0,0,0,1,0.062830699,0.000613202,0.101564782,0.030000000,0.871332768,0.057579155,0.000000672,0.000001127,0.000004211,0.101828369,-0.098338610,0.989929543,0.000000002,0.000000002,0.000000004,0.369718567,0.929039795,0.013901081,0.000000000,0.435434247,0.047129743,4.305588756,0.006017121,68.173422621,0,0.280511448,0.247614554,991,916,75,0.263914780,225,0,0,0,0,0,2539,225,69167,135175,40251,0,0,666175
