frame,lidar_begin_time,lidar_end_time,received_lidar_messages,synchronized_scans,scan_update_failures,imu_angular_velocity_mean,imu_angular_velocity_max,adaptive_map,degeneracy_diagnostic,stage2_map_policy,degenerate,degeneracy_mode,window_ready,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,downsampled_points,effective_points,effective_ratio,residual_mean,residual_median,residual_mad,normal_eigen_ratio,condition_number,localizability_observed_voxels,localizability_planarity_mean,localizability_lambda_min,localizability_lambda_mid,localizability_lambda_max,localizability_f0,localizability_lambda0,observability_soft_weighting_active,observability_geometry_quality,observability_measurement_weight_mean,observability_measurement_weight_min,transition_guard_active,transition_guard_triggered,transition_guard_map_pause_enable,transition_guard_measurement_weight_enable,transition_guard_cooldown_frames,transition_guard_measurement_weight,translation_cov_eigen_min,translation_cov_eigen_mid,translation_cov_eigen_max,translation_weak_dir_x,translation_weak_dir_y,translation_weak_dir_z,rotation_cov_eigen_min,rotation_cov_eigen_mid,rotation_cov_eigen_max,rotation_weak_dir_x,rotation_weak_dir_y,rotation_weak_dir_z,window_degenerate_ratio,window_normal_eigen_ratio_mean,window_residual_cv,window_path_length,window_yaw_change,window_condition_number_mean,window_recent_degenerate_streak,window_localizability_f0_mean,window_localizability_lambda0_mean,window_geometry_weak_ratio,relative_persistent_enable,relative_baseline_ready,relative_persistent_candidate,relative_f0_baseline,relative_lambda0_baseline,relative_f0_ratio,relative_lambda0_ratio,map_added,point_to_add,point_no_need_downsample,insert_ratio,quality_rejected,invalid_quality_rejected,direction_rejected,persistent_quota_rejected,persistent_voxel_quota_rejected,novel_accepted,novel_rejected,voxel_rejected,total_rejected,map_size,total_map_added,total_quality_rejected,total_direction_rejected,total_persistent_quota_rejected,total_persistent_voxel_quota_rejected,total_voxel_rejected
186,1624181109.161386967,1624181109.261287451,191,190,0,0.055595441,0.101507082,1,1,0,0,0,1,-0.012089785,-0.036508409,-0.008081753,0.000629920,-0.000003498,0.000011353,0.999999802,2365,2007,0.848625793,0.017732845,0.008955022,0.007085186,0.098344470,122.455951875,1813,0.969437749,129.383167614,316.707422198,1311.500049994,0.073613938,0.071364130,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000549,0.000001745,0.000003948,-0.090124368,-0.995879551,0.010075633,0.000000001,0.000000001,0.000000010,0.001738132,-0.002614379,0.999995072,0.000000000,0.092765417,0.175458737,0.094144352,0.010665301,131.624501388,0,0.078315854,0.076142925,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,127,126,1,0.053699789,47,0,0,0,0,0,0,2189,49,9127,24946,8750,0,0,0,403616
187,1624181109.261384726,1624181109.361310959,192,191,0,0.062626336,0.090846064,1,1,0,0,0,1,-0.014568233,-0.030280879,-0.006036305,-0.000323066,-0.000219020,0.000025366,0.999999924,2327,1992,0.856037817,0.019209561,0.010219542,0.007269385,0.098213479,123.145037363,1801,0.967992884,126.679392099,318.621611952,1298.054179970,0.072664133,0.070338363,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000555,0.000001733,0.000003950,-0.082577784,-0.996560626,0.006915861,0.000000001,0.000000001,0.000000009,0.003577756,0.000657592,0.999993384,0.000000000,0.093038127,0.186225635,0.097982740,0.010579137,131.162442431,0,0.077957247,0.075778692,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,161,159,2,0.069187795,57,0,0,0,0,0,0,2108,58,9150,25107,8807,0,0,0,405724
188,1624181109.361382246,1624181109.461327791,193,192,0,0.056922831,0.107700255,1,1,0,0,0,1,-0.012031550,-0.031087547,-0.001532911,-0.000602676,0.000162978,-0.000225163,0.999999780,2350,2014,0.857021277,0.017386283,0.009259423,0.006131288,0.101845108,117.675739438,1814,0.969782327,126.250913251,319.379953129,1313.554274363,0.071766701,0.069598078,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000554,0.000001705,0.000003826,-0.073527655,-0.997281907,0.004741595,0.000000001,0.000000001,0.000000008,0.005751314,-0.018948410,0.999803921,0.000000000,0.093258996,0.186657506,0.101604981,0.010897024,130.561006989,0,0.077487928,0.075310039,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,171,171,0,0.072765957,60,0,0,0,0,0,0,2119,60,9182,25278,8867,0,0,0,407843
189,1624181109.461379766,1624181109.561332703,194,193,0,0.081733962,0.139045970,1,1,0,0,0,1,-0.008542646,-0.033057102,-0.007531973,0.000629901,0.000100290,0.000074217,0.999999794,2331,1979,0.848991849,0.019790678,0.010061590,0.006664968,0.111601145,112.140541016,1808,0.966925300,140.352784998,318.189133664,1289.659023613,0.080284126,0.077628753,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000565,0.000001703,0.000003653,-0.068636795,-0.997610986,0.007830195,0.000000001,0.000000001,0.000000007,0.003175995,-0.012879312,0.999912014,0.000000000,0.094234905,0.193899098,0.108293513,0.011474058,129.575925586,0,0.077684087,0.075474243,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,160,158,2,0.068640069,70,0,0,0,0,0,0,2101,70,9214,25438,8937,0,0,0,409944
190,1624181109.561377287,1624181109.661325693,195,194,0,0.064547348,0.135239906,1,1,0,0,0,1,-0.007086131,-0.037458231,-0.010583946,0.000185673,0.000003238,-0.000048033,0.999999982,2315,1986,0.857883369,0.020717238,0.011411444,0.007061057,0.103302055,121.851987820,1796,0.967770631,126.798863324,318.508525723,1292.808663886,0.072951897,0.070600703,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000558,0.000001699,0.000003731,-0.060211872,-0.998145036,0.009000978,0.000000001,0.000000002,0.000000008,0.002435971,-0.007426187,0.999969458,0.000000000,0.094886397,0.198881556,0.110297601,0.011668959,129.074508422,0,0.077371481,0.075149625,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,200,200,0,0.086393089,70,0,0,0,0,0,0,2045,70,9255,25638,9007,0,0,0,411989
191,1624181109.661374807,1624181109.761256933,196,195,0,0.050692378,0.098107145,1,1,0,0,0,1,-0.007234548,-0.035709993,-0.008592463,0.000335289,-0.000125754,0.000061103,0.999999934,2319,1985,0.855972402,0.018697752,0.007909774,0.005595844,0.108027440,117.589648385,1787,0.969156470,126.998677231,318.638336861,1286.245596995,0.073329841,0.071068090,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000559,0.000001716,0.000003702,-0.072679686,-0.997318877,0.008527606,0.000000001,0.000000002,0.000000008,0.005639286,-0.018380635,0.999815158,0.000000000,0.095484255,0.194772830,0.110189367,0.011824336,128.334809427,0,0.076976515,0.074748582,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,200,198,2,0.086244071,71,0,0,0,0,0,0,2048,71,9304,25838,9078,0,0,0,414037
192,1624181109.761372566,1624181109.861259222,197,196,0,0.054627063,0.094841667,1,1,0,0,0,1,-0.005296884,-0.035903943,-0.006412532,-0.000005150,0.000436340,-0.000379631,0.999999833,2286,1955,0.855205599,0.019569290,0.010464319,0.007680534,0.107073096,118.393272682,1781,0.967401163,127.568620144,307.335569024,1288.037281983,0.074041180,0.071627524,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000567,0.000001766,0.000003761,-0.094246258,-0.995501867,0.009678639,0.000000001,0.000000001,0.000000009,-0.010088881,0.026640191,-0.999594175,0.000000000,0.096262645,0.186875487,0.111014107,0.012490329,127.487369042,0,0.076764641,0.074517079,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,207,205,2,0.090551181,67,0,0,0,0,0,0,2012,67,9347,26045,9145,0,0,0,416049
193,1624181109.861370087,1624181109.961302996,198,197,0,0.050732806,0.098279938,1,1,0,0,0,1,-0.008950731,-0.038520127,0.000028206,0.000117426,0.000075814,0.000170001,0.999999976,2310,1980,0.857142857,0.018622448,0.008675888,0.006301961,0.113097881,114.834347864,1798,0.971068942,127.853664444,313.079532456,1305.048760833,0.073227369,0.071108823,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000565,0.000001749,0.000003671,-0.095026571,-0.995439571,0.008367233,0.000000001,0.000000002,0.000000008,0.008088901,-0.002592183,0.999963924,0.000000000,0.097382040,0.177166001,0.115211785,0.013414567,126.430403875,0,0.076412861,0.074172025,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,130,130,0,0.056277056,59,0,0,0,0,0,0,2121,59,9376,26175,9204,0,0,0,418170
194,1624181109.961367607,1624181110.061325073,199,198,0,0.053058760,0.083387366,1,1,0,0,0,1,-0.012743934,-0.042536887,-0.001330300,0.000217068,-0.000111242,0.000028148,0.999999970,2333,1984,0.850407201,0.016437108,0.008103898,0.005654547,0.110066762,121.029647139,1831,0.970827024,135.455138447,309.223568890,1332.905574200,0.076201809,0.073978776,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000562,0.000001752,0.000003715,-0.109750929,-0.993921898,0.008601940,0.000000001,0.000000001,0.000000009,0.003274173,0.001939341,0.999992759,0.000000000,0.098579212,0.169249497,0.114279141,0.013387145,125.611111896,0,0.076470635,0.074222275,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,86,86,0,0.036862409,31,0,0,0,0,0,0,2215,32,9399,26261,9235,0,0,0,420385
195,1624181110.061365128,1624181110.161414862,200,199,0,0.050117985,0.105169108,1,1,0,0,0,1,-0.019291134,-0.045575811,0.003633934,-0.000396615,-0.000119983,-0.000075960,0.999999911,2342,2007,0.856959863,0.020854196,0.011374266,0.008004537,0.113780082,113.259063806,1803,0.970879798,135.071717489,303.638497945,1311.786060166,0.077161957,0.074914985,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000557,0.000001743,0.000003571,-0.096982227,-0.995274182,0.004873428,0.000000001,0.000000001,0.000000007,0.006404401,-0.012331660,0.999903452,0.000000000,0.099887265,0.162141692,0.118803549,0.012464506,124.356816170,0,0.076358164,0.074104211,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,106,104,2,0.045260461,35,0,0,0,0,0,0,2201,35,9420,26367,9270,0,0,0,422586
196,1624181110.161362648,1624181110.261398554,201,200,0,0.053988414,0.094442578,1,1,0,0,0,1,-0.018363249,-0.040063434,-0.002667704,0.000378258,-0.000390769,-0.000245744,0.999999822,2342,1994,0.851409052,0.018381445,0.009064470,0.006612069,0.110269749,117.445286868,1810,0.970906509,131.641665955,313.293027940,1312.406088015,0.074909583,0.072730202,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000564,0.000001710,0.000003616,-0.088584755,-0.996062534,0.003488530,0.000000001,0.000000001,0.000000007,0.011351412,-0.009704091,0.999888482,0.000000000,0.100926211,0.150282422,0.120897556,0.012666202,123.344001518,0,0.076101407,0.073849426,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,98,97,1,0.041844577,44,0,0,0,0,0,0,2199,45,9432,26465,9314,0,0,0,424785
197,1624181110.261360168,1624181110.361377239,202,201,0,0.053404064,0.100487269,1,1,0,0,0,1,-0.015133594,-0.043771769,-0.003547513,-0.000119456,0.000456991,0.000016450,0.999999888,2334,1992,0.853470437,0.020257026,0.011340852,0.007595621,0.108030121,119.455255974,1813,0.969258855,129.616709456,317.854053254,1309.795541303,0.073760425,0.071492945,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000563,0.000001699,0.000003721,-0.098802644,-0.995097504,0.004358343,0.000000001,0.000000001,0.000000008,0.006202238,-0.015969405,0.999853244,0.000000000,0.101527082,0.141152082,0.122488587,0.011959588,122.936403510,0,0.075753784,0.073501972,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,128,127,1,0.054841474,55,0,0,0,0,0,0,2151,55,9462,26593,9369,0,0,0,426936
198,1624181110.361357927,1624181110.461335659,202,202,0,0.049950296,0.093543332,1,1,0,0,0,1,-0.013486743,-0.039608329,-0.000829168,-0.000010749,0.000154972,-0.000008583,0.999999988,2357,2000,0.848536275,0.018881377,0.008787582,0.006278671,0.109240887,117.973215377,1820,0.968478999,128.220690290,314.251667088,1320.159421173,0.072743889,0.070450929,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000566,0.000001710,0.000003695,-0.102128711,-0.994749033,0.006639918,0.000000001,0.000000001,0.000000007,0.001093072,-0.012554566,0.999920591,0.000000000,0.102211288,0.128727565,0.122700588,0.010647969,122.294923859,0,0.075453181,0.073192846,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,118,116,2,0.050063640,52,0,0,0,0,0,0,2186,53,9500,26711,9421,0,0,0,429122
199,1624181110.461355448,1624181110.561279297,204,203,0,0.054001871,0.091197395,1,1,0,0,0,1,-0.012854933,-0.042960663,-0.001652333,0.000321603,0.000336881,-0.000125277,0.999999884,2361,1998,0.846251588,0.018433362,0.010242961,0.007316504,0.107936523,118.189275489,1830,0.967423034,128.221299019,316.419572436,1325.743281103,0.072425693,0.070066284,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000563,0.000001684,0.000003690,-0.094512273,-0.995512734,0.004671832,0.000000001,0.000000001,0.000000007,0.004540080,-0.007794637,0.999959315,0.000000000,0.102919170,0.108261303,0.119930072,0.009784584,121.563324983,0,0.075118519,0.072850059,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,90,90,0,0.038119441,39,0,0,0,0,0,0,2230,41,9523,26801,9460,0,0,0,431352
200,1624181110.561352968,1624181110.661266565,205,204,0,0.055922548,0.095246803,1,1,0,0,0,1,-0.016639368,-0.042447095,0.001877210,0.000122427,0.001116909,0.000027668,0.999999368,2351,1975,0.840068056,0.021393690,0.011081120,0.007815960,0.108720120,119.522943633,1812,0.968779356,130.401204706,315.344635767,1309.682353285,0.074284556,0.071965345,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000572,0.000001706,0.000003750,-0.098339119,-0.995125517,0.007390706,0.000000001,0.000000002,0.000000007,0.004694780,-0.000138893,0.999988970,0.000000000,0.103894266,0.094391991,0.114690452,0.008554618,120.863049715,0,0.074971525,0.072692292,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,117,117,0,0.049766057,41,0,0,0,0,0,0,2192,42,9547,26918,9501,0,0,0,433544
201,1624181110.661350489,1624181110.761250496,205,205,0,0.063807738,0.105728528,1,1,0,0,0,1,-0.023257077,-0.045823715,0.000082305,0.000322783,0.001512553,-0.000248914,0.999998773,2333,1955,0.837976854,0.027056113,0.015552826,0.011129158,0.112375198,113.302956546,1811,0.966064873,125.528041021,320.656394283,1303.359050162,0.071749026,0.069314214,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000576,0.000001663,0.000003691,-0.085878398,-0.996295214,0.004554917,0.000000001,0.000000002,0.000000007,-0.008276233,-0.016849403,0.999823785,0.000000000,0.105095579,0.130495417,0.120290898,0.008818806,119.559242266,0,0.074773513,0.072476812,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,282,279,3,0.120874411,86,0,0,0,0,0,0,1965,86,9622,27200,9587,0,0,0,435509
202,1624181110.861345768,1624181110.961235046,207,206,0,0.044456891,0.090925212,1,1,0,0,0,1,-0.047521770,-0.047713263,-0.004489444,0.000020544,0.000231779,-0.000495371,0.999999850,2307,1875,0.812743823,0.033809225,0.017428527,0.013073686,0.110740672,117.848550882,1785,0.962742301,134.557820379,334.615920883,1249.321265584,0.078299803,0.075382532,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000732,0.000002209,0.000005077,-0.082197317,-0.996584411,-0.007944405,0.000000001,0.000000002,0.000000008,0.015932293,-0.029694662,0.999432033,0.000000000,0.105978120,0.199820602,0.141008302,0.008814112,118.982236734,0,0.074869653,0.072535862,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,653,645,8,0.283051582,143,0,0,0,0,0,0,1511,143,9960,27853,9730,0,0,0,437020
203,1624181110.961343288,1624181111.061260939,208,207,0,0.028685223,0.060897842,1,1,0,0,0,1,-0.055844142,-0.035587732,-0.004467976,0.000082205,-0.000417764,-0.000892261,0.999999511,2286,1846,0.807524059,0.032923253,0.017044794,0.012236168,0.120653939,116.101186189,1742,0.957493530,147.397724432,330.308692448,1190.247312096,0.088370392,0.084614078,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000619,0.000001912,0.000004294,-0.118256034,-0.992982209,0.001357570,0.000000001,0.000000002,0.000000009,0.017251710,-0.007186569,0.999825351,0.000000000,0.107441608,0.226875752,0.148269855,0.009041878,118.328479135,0,0.075427199,0.073017110,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,704,691,13,0.307961505,138,0,0,0,0,0,0,1444,138,10260,28557,9868,0,0,0,438464
204,1624181111.061340809,1624181111.161274672,209,208,0,0.034173805,0.070295469,1,1,0,0,0,1,-0.053203095,-0.034745672,-0.005383537,0.000238268,-0.000657646,-0.001036159,0.999999219,2250,1847,0.820888889,0.028318547,0.015125897,0.011691855,0.129804211,107.345997436,1750,0.954261357,145.020988537,326.088126133,1198.848259807,0.086841132,0.082869136,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000611,0.000001833,0.000003907,0.139107257,0.990273345,0.002805899,0.000000001,0.000000002,0.000000009,0.012515623,0.006990767,0.999897239,0.000000000,0.109094006,0.235319297,0.143336226,0.008115516,117.566511258,0,0.075807865,0.073319610,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,468,464,4,0.208000000,116,0,0,0,0,0,0,1666,116,10405,29025,9984,0,0,0,440130
205,1624181111.161338329,1624181111.261259556,210,209,0,0.036090202,0.064712331,1,1,0,0,0,1,-0.048664109,-0.033569361,-0.000595529,0.000365564,0.000107555,-0.000792816,0.999999613,2277,1888,0.829161177,0.024960694,0.011886683,0.009417586,0.125906087,107.826150610,1793,0.957152128,138.045862094,324.114111386,1254.013791932,0.080438161,0.076991557,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000598,0.000001809,0.000003645,-0.099284331,-0.995054678,-0.002968189,0.000000001,0.000000002,0.000000007,-0.009672736,0.009660140,-0.999906556,0.000000000,0.110451451,0.227020120,0.136985120,0.008132907,116.869302820,0,0.075953281,0.073405272,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,386,381,5,0.169521300,103,0,0,0,0,0,0,1788,103,10519,29411,10087,0,0,0,441918
206,1624181111.261335850,1624181111.361287117,211,210,0,0.049330585,0.082931556,1,1,0,0,0,1,-0.040860599,-0.031812402,-0.004847118,0.000256704,0.001060536,-0.000499863,0.999999280,2305,1907,0.827331887,0.025162319,0.012365627,0.009121786,0.125389787,108.517613361,1795,0.957332892,141.237313129,318.999866948,1258.175360554,0.082190574,0.078683740,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000587,0.000001783,0.000003612,-0.092867398,-0.995670324,0.004031306,0.000000001,0.000000002,0.000000008,0.009973905,0.015264316,0.999833747,0.000000000,0.111803717,0.221786335,0.139035929,0.008691103,116.172385894,0,0.076382112,0.073771253,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,357,355,2,0.154880694,115,0,0,0,0,0,0,1833,115,10629,29768,10202,0,0,0,443751
207,1624181111.361333609,1624181111.461297989,212,211,0,0.107878374,0.176656758,1,1,0,0,0,1,-0.030488669,-0.025003730,0.012902299,0.002321889,0.003284292,0.000151964,0.999991900,2281,1879,0.823761508,0.038974688,0.021980888,0.014111674,0.122385916,110.541110423,1808,0.957439546,135.808931175,321.191630591,1274.050137927,0.078454624,0.075115559,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000596,0.000001780,0.000003662,-0.093799346,-0.995588761,0.002168427,0.000000001,0.000000002,0.000000008,0.002069153,0.011945309,0.999926511,0.000000000,0.113012339,0.263596407,0.155460545,0.009508074,115.542189547,0,0.076671637,0.074010113,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,443,442,1,0.194213064,126,0,0,0,0,0,0,1712,126,10770,30211,10328,0,0,0,445463
208,1624181111.461331129,1624181111.561272621,213,212,0,0.257250310,0.357159997,1,1,0,0,0,1,-0.018409621,-0.027449182,0.016159496,0.004231415,0.009079659,-0.000059984,0.999949824,2283,1818,0.796320631,0.067876402,0.030340838,0.020863077,0.121748611,108.013322439,1802,0.955516121,142.934385383,324.716615694,1254.189048406,0.083012580,0.079319859,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000630,0.000001776,0.000003837,-0.111432670,-0.993760806,0.004713845,0.000000001,0.000000002,0.000000009,-0.015541476,0.009324347,0.999835746,0.000000000,0.114007514,0.445196009,0.160993919,0.009271305,115.059068697,0,0.077233931,0.074496202,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,692,678,14,0.303109943,220,0,0,0,0,0,0,1371,220,11098,30903,10548,0,0,0,446834
209,1624181111.561328650,1624181111.661292315,214,213,0,0.286649170,0.354167004,1,1,0,0,0,1,0.017503322,-0.063001066,0.010273095,0.011201780,0.027810562,0.000847925,0.999550086,2259,1529,0.676848163,0.131471731,0.062783627,0.051467137,0.177751811,69.077782200,1693,0.937714122,206.973799841,354.203118045,1026.373090546,0.130373090,0.122252687,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000739,0.000001695,0.000003692,0.103589545,0.994523627,-0.013855035,0.000000001,0.000000003,0.000000007,-0.043258963,0.025307405,0.998743309,0.000000000,0.117315047,0.823443666,0.206319200,0.011391543,112.905930756,0,0.079738379,0.076727398,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,965,898,67,0.427180168,432,0,0,0,0,0,0,862,432,11773,31868,10980,0,0,0,447696
210,1624181111.661326170,1624181111.761293411,215,214,0,0.225908417,0.335985526,1,1,0,0,0,1,0.015886937,-0.028965393,-0.049544284,0.013349085,0.026917767,0.000210414,0.999548494,2328,1615,0.693728522,0.137644441,0.050720548,0.038837178,0.229089993,65.037244383,1758,0.930263884,249.624908227,431.747578030,954.031421497,0.152638077,0.141993691,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000804,0.000001546,0.000003171,0.117429531,0.993038908,-0.009166980,0.000000001,0.000000004,0.000000007,-0.007205967,-0.117115633,0.993092142,0.000000000,0.123604444,0.930742653,0.272506624,0.012354144,110.065193584,0,0.083722688,0.080297048,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,909,848,61,0.390463918,324,0,0,0,0,0,0,1095,324,12347,32777,11304,0,0,0,448791
211,1624181111.761323690,1624181111.861218691,216,215,0,0.193491331,0.230931250,1,1,0,0,0,1,0.030514984,-0.010559714,-0.115813054,0.016946030,0.042614930,-0.000075515,0.998947844,2367,1559,0.658639628,0.106555152,0.039685483,0.030955118,0.291683922,57.395625980,1812,0.912044094,290.875551494,495.154358242,866.593988177,0.176008317,0.160527346,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000858,0.000001416,0.000002772,0.101154369,0.994812319,0.010781610,0.000000002,0.000000005,0.000000006,-0.102749864,0.181532468,0.978002264,0.000000000,0.132787268,0.901336387,0.339899275,0.011629961,107.055492464,0,0.088856612,0.084770011,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,900,814,86,0.380228137,322,0,0,0,0,0,0,1144,323,12978,33677,11626,0,0,0,449935
212,1624181111.861321449,1624181111.961137772,217,216,0,0.106785344,0.197616190,1,1,0,0,0,1,0.033068514,0.003308532,-0.202194990,0.014213025,0.044562673,0.000280904,0.998905441,2454,1587,0.646699267,0.080343623,0.037968329,0.026525497,0.326531592,53.590401288,1868,0.912695048,319.445660711,510.490641398,874.978047016,0.187367571,0.171009454,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000874,0.000001394,0.000002576,0.138067324,0.990115691,0.024664393,0.000000002,0.000000005,0.000000006,-0.105277930,0.147791127,0.983399380,0.000000000,0.143760193,0.852522068,0.419571087,0.011067747,103.815348894,0,0.094522931,0.089739107,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,919,849,70,0.374490628,230,0,0,0,0,0,0,1305,230,13550,34596,11856,0,0,0,451240
213,1624181111.961318970,1624181112.061197042,218,217,0,0.052134377,0.101513796,1,1,0,0,0,1,0.014627571,0.028975868,-0.309359604,0.015089457,0.045859326,0.000566568,0.998833775,2552,1692,0.663009404,0.094344835,0.049805877,0.035227549,0.329075785,50.665168991,1895,0.911452388,322.697632136,517.996626841,886.508015794,0.186832566,0.170288988,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000841,0.000001297,0.000002420,0.118024339,0.992695684,0.025010670,0.000000002,0.000000005,0.000000005,-0.076892897,-0.453358340,0.888005460,0.000000000,0.154559088,0.806385980,0.525609724,0.011475177,100.606889951,0,0.100203191,0.094698115,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,963,877,86,0.377351097,354,0,0,0,0,0,0,1235,354,14137,35559,12210,0,0,0,452475
214,1624181112.061316490,1624181112.161257982,219,218,0,0.057176051,0.104370833,1,1,0,0,0,1,0.012022961,0.058818435,-0.421472535,0.014059096,0.045984241,0.000436109,0.998843131,2657,1660,0.624764772,0.092212785,0.046760758,0.032604233,0.386709208,47.325897700,1989,0.905564542,359.201014902,551.430483211,890.536376897,0.199426727,0.180593773,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000878,0.000001252,0.000002223,0.079072374,0.996866895,0.001988493,0.000000002,0.000000005,0.000000005,-0.109478182,-0.134039301,0.984910145,0.000000000,0.168391211,0.755505547,0.632895320,0.011620136,96.921702479,0,0.106364437,0.100028865,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,1006,933,73,0.378622507,318,0,0,0,0,0,0,1333,318,14756,36565,12528,0,0,0,453808
215,1624181112.161314011,1624181112.261261225,220,219,0,0.085093558,0.154107514,1,1,0,0,0,1,0.025121062,0.095845167,-0.543764994,0.012390831,0.046882809,0.000092652,0.998823538,2759,1681,0.609278724,0.079343390,0.041051549,0.029592643,0.402420826,44.326436834,2058,0.893887825,353.846242735,590.496011531,895.278890121,0.192347345,0.171936950,0,1.000000000,1.000000000,1.000000000,0,0,1,0,0,1.000000000,0.000000913,0.000001212,0.000002117,0.084900435,0.996305644,0.012922042,0.000000002,0.000000004,0.000000005,-0.098796737,-0.327043472,0.939830715,0.000000000,0.182823248,0.710708777,0.752916149,0.012100701,93.475071130,0,0.112123707,0.104879963,0.000000000,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,972,876,96,0.352301559,281,0,0,0,0,0,0,1505,282,15318,37537,12809,0,0,0,455313
